id	seq_len	no_parts
MN769714.1	2987	1
MN769780.1	2987	1
MN770030.1	2987	1
MN770377.1	2987	1
MN770774.1	2987	1
MW455353.1	2987	1
MW455399.1	2987	1
MN770178.1	2986	1
MN770197.1	2986	1
MN771346.1	2986	1
MN774954.1	2986	1
MN770131.1	2985	1
MN770173.1	2985	1
MN770643.1	2985	1
KP343844.1	2984	1
MN771300.1	2984	1
MN769888.1	2983	1
MZ286105.1	2983	1
MN769027.1	2982	1
MN769043.1	2982	1
MN769044.1	2982	1
MN769117.1	2982	1
MN769137.1	2982	1
MN770060.1	2982	1
MN770236.1	2982	1
MN770637.1	2982	1
KP343847.1	2981	1
OK574427.1	2981	1
MH649228.1	2980	1
MN769903.1	2980	1
JX134045.1	2979	1
MN769209.1	2979	1
MN769343.1	2979	1
MN770045.1	2978	1
MN770725.1	2978	1
MZ286145.1	2978	1
MZ286254.1	2978	1
OK574405.1	2978	1
OZ258716.1	2978	1
OZ258928.1	2978	1
KP343854.1	2977	1
MN769768.1	2977	1
MN769977.1	2977	1
MN770393.1	2977	1
MN771407.1	2977	1
MN771494.1	2977	1
MN774974.1	2977	1
KP343834.1	2976	1
MN769947.1	2976	1
MN769961.1	2976	1
MN769966.1	2976	1
MN770010.1	2976	1
MN770199.1	2976	1
MZ285978.1	2976	1
MZ286106.1	2976	1
MN769162.1	2975	1
MN769771.1	2975	1
MN769868.1	2975	1
MN769959.1	2975	1
MN770883.1	2975	1
MN770891.1	2975	1
MN769668.1	2974	1
MN769952.1	2974	1
MN769994.1	2974	1
MN770044.1	2974	1
MN770082.1	2974	1
MN770748.1	2974	1
MN771132.1	2974	1
MN769882.1	2973	1
MN769894.1	2973	1
MN769933.1	2973	1
MN769938.1	2973	1
MN769986.1	2973	1
MN770006.1	2973	1
MN770016.1	2973	1
MN770186.1	2973	1
MN770205.1	2973	1
MN770295.1	2973	1
MN769550.1	2972	1
MN770124.1	2972	1
MN770158.1	2972	1
MN770349.1	2972	1
MN770640.1	2972	1
MN770770.1	2972	1
MN771017.1	2972	1
MN771177.1	2972	1
MZ285979.1	2972	1
MZ286004.1	2972	1
MZ825126.1	2972	1
OZ258763.1	2972	1
OZ258975.1	2972	1
MN769321.1	2971	1
MN769802.1	2971	1
MN770521.1	2971	1
MN770670.1	2971	1
MN770756.1	2971	1
MZ285972.1	2971	1
MN769077.1	2970	1
MN769310.1	2970	1
MN769871.1	2970	1
MN769899.1	2970	1
MN769922.1	2970	1
MN769942.1	2970	1
MN769953.1	2970	1
MN770920.1	2970	1
MN771322.1	2970	1
MN771325.1	2970	1
MN771327.1	2970	1
MN771330.1	2970	1
MN769507.1	2969	1
MN769657.1	2969	1
MN769748.1	2969	1
MN770306.1	2969	1
MN771105.1	2969	1
MZ286133.1	2969	1
MN769112.1	2968	1
MN769695.1	2968	1
MN770697.1	2968	1
MN771048.1	2968	1
MN771331.1	2968	1
MW455384.1	2968	1
MZ285980.1	2968	1
MN769474.1	2967	1
MN769490.1	2967	1
MN769908.1	2967	1
MN770049.1	2967	1
MN770426.1	2967	1
OK574387.1	2967	1
MN769115.1	2966	1
MN769762.1	2966	1
MN770750.1	2966	1
MN771027.1	2966	1
MN771265.1	2966	1
MN774979.1	2966	1
MN770489.1	2965	1
MZ286268.1	2965	1
MN770970.1	2964	1
MN771024.1	2964	1
MN769311.1	2963	1
MN769366.1	2963	1
MN769495.1	2963	1
MN770036.1	2963	1
MN770921.1	2963	1
MN771029.1	2963	1
MN771031.1	2963	1
MN771036.1	2963	1
MN771228.1	2963	1
MN771340.1	2963	1
MN771344.1	2963	1
MN774981.1	2963	1
MZ286153.1	2963	1
MZ286281.1	2963	1
MZ286285.1	2963	1
MN769968.1	2962	1
MN770357.1	2962	1
MN770424.1	2962	1
MN770623.1	2962	1
MN770667.1	2962	1
MN770722.1	2962	1
MN770751.1	2962	1
MN770801.1	2962	1
MN771026.1	2962	1
MN771028.1	2962	1
MN771064.1	2962	1
MZ286279.1	2962	1
OK574409.1	2962	1
MH649157.1	2961	1
MN769045.1	2961	1
MN769508.1	2961	1
MN769541.1	2961	1
MN769847.1	2961	1
MN770365.1	2961	1
MN771349.1	2961	1
MN774972.1	2961	1
MN774973.1	2961	1
MW455442.1	2961	1
MZ285963.1	2961	1
MZ285981.1	2961	1
MZ286116.1	2961	1
MZ286246.1	2961	1
MN769241.1	2960	1
MN769600.1	2960	1
MN769666.1	2960	1
MN769698.1	2960	1
MN769746.1	2960	1
MN769769.1	2960	1
MN769787.1	2960	1
MN769822.1	2960	1
MN770081.1	2960	1
MN770196.1	2960	1
MN770638.1	2960	1
MN770743.1	2960	1
MN771126.1	2960	1
MN771441.1	2960	1
MN769042.1	2959	1
MN769717.1	2959	1
MN769844.1	2959	1
MN769859.1	2959	1
MN770051.1	2959	1
MN770307.1	2959	1
MN770998.1	2959	1
MN771131.1	2959	1
MN771190.1	2959	1
MN771316.1	2959	1
MN771317.1	2959	1
MN771318.1	2959	1
MN771320.1	2959	1
MN771321.1	2959	1
MN771323.1	2959	1
MN771324.1	2959	1
MN771328.1	2959	1
MN771332.1	2959	1
MZ286222.1	2959	1
MN769142.1	2958	1
MN770169.1	2958	1
MN770359.1	2958	1
MW455400.1	2958	1
MZ286076.1	2958	1
MZ286282.1	2958	1
OK574370.1	2958	1
OZ258724.1	2958	1
OZ258797.1	2958	1
OZ258936.1	2958	1
OZ259009.1	2958	1
MN770128.1	2957	1
MN770217.1	2957	1
MN770257.1	2957	1
MN770505.1	2957	1
MN770634.1	2957	1
MN770747.1	2957	1
MN771380.1	2957	1
MN771499.1	2957	1
MN769425.1	2956	1
MN771058.1	2956	1
MN771405.1	2956	1
MN774961.1	2956	1
MN769387.1	2955	1
MN769615.1	2955	1
MN769711.1	2955	1
MN770372.1	2955	1
MN770630.1	2955	1
MW455355.1	2955	1
MN769510.1	2954	1
MN770383.1	2954	1
MN770532.1	2954	1
MN771044.1	2954	1
MN771257.1	2954	1
MZ286064.1	2954	1
MZ286087.1	2954	1
MN769202.1	2953	1
MN769351.1	2953	1
MN769364.1	2953	1
MN769468.1	2953	1
MN769721.1	2953	1
MN770579.1	2953	1
OK574363.1	2953	1
MN769230.1	2952	1
MN769705.1	2952	1
MN769998.1	2952	1
MN770091.1	2952	1
MN770202.1	2952	1
MN770208.1	2952	1
MN770862.1	2952	1
MZ286258.1	2952	1
OP985295.1	2952	1
OZ258721.1	2952	1
OZ258933.1	2952	1
MN769128.1	2951	1
MN769290.1	2951	1
MN769491.1	2951	1
MN769851.1	2951	1
MN769856.1	2951	1
MN769872.1	2951	1
MN769885.1	2951	1
MN769927.1	2951	1
MN769982.1	2951	1
MN770054.1	2951	1
MN770066.1	2951	1
MN770476.1	2951	1
MN770719.1	2951	1
MN771069.1	2951	1
MN771497.1	2951	1
OZ258769.1	2951	1
OZ258981.1	2951	1
MN769434.1	2950	1
MN769522.1	2950	1
MN769936.1	2950	1
MN769939.1	2950	1
MN769955.1	2950	1
MN770037.1	2950	1
MN770172.1	2950	1
MN770435.1	2950	1
MN770481.1	2950	1
MN770629.1	2950	1
MN770668.1	2950	1
MN770686.1	2950	1
MN770766.1	2950	1
MN771168.1	2950	1
MN771268.1	2950	1
MW455401.1	2950	1
MN769403.1	2949	1
MN769596.1	2949	1
MN769828.1	2949	1
MN769867.1	2949	1
MN769889.1	2949	1
MN769907.1	2949	1
MN769934.1	2949	1
MN769935.1	2949	1
MN769956.1	2949	1
MN770001.1	2949	1
MN770012.1	2949	1
MN770038.1	2949	1
MN770235.1	2949	1
MN770529.1	2949	1
MN770786.1	2949	1
OZ258773.1	2949	1
OZ258985.1	2949	1
MN769046.1	2948	1
MN769127.1	2948	1
MN769217.1	2948	1
MN769374.1	2948	1
MN769542.1	2948	1
MN769710.1	2948	1
MN769813.1	2948	1
MN769821.1	2948	1
MN770107.1	2948	1
MN770396.1	2948	1
MN770514.1	2948	1
MN770890.1	2948	1
MN770896.1	2948	1
MN770944.1	2948	1
MZ286241.1	2948	1
OZ258731.1	2948	1
OZ258943.1	2948	1
MN769253.1	2947	1
MN769672.1	2947	1
MN769764.1	2947	1
MN770562.1	2947	1
MN770606.1	2947	1
MN770617.1	2947	1
MN770739.1	2947	1
MN770765.1	2947	1
MN770925.1	2947	1
MN774957.1	2947	1
MW455356.1	2947	1
MW455427.1	2947	1
MZ286019.1	2947	1
MN769080.1	2946	1
MN769299.1	2946	1
MN769537.1	2946	1
MN769598.1	2946	1
MN769612.1	2946	1
MN770033.1	2946	1
MN770300.1	2946	1
MN770304.1	2946	1
MN770305.1	2946	1
MN770310.1	2946	1
MN770461.1	2946	1
MN770564.1	2946	1
MN770785.1	2946	1
MZ286186.1	2946	1
OZ258748.1	2946	1
OZ258960.1	2946	1
MN769191.1	2945	1
MN769285.1	2945	1
MN770204.1	2945	1
MN770407.1	2945	1
MN770658.1	2945	1
MN770179.1	2944	1
MN770282.1	2944	1
MN770290.1	2944	1
MN770291.1	2944	1
MN770301.1	2944	1
MN770316.1	2944	1
MN770319.1	2944	1
MN770449.1	2944	1
MN770473.1	2944	1
MN771180.1	2944	1
MN771287.1	2944	1
KY856742.1	2943	1
MN769250.1	2943	1
MN769535.1	2943	1
MN770188.1	2943	1
MN770517.1	2943	1
MN770700.1	2943	1
MN771045.1	2943	1
MN771085.1	2943	1
MN771090.1	2943	1
MN771207.1	2943	1
MN771211.1	2943	1
MN771329.1	2943	1
MZ285982.1	2943	1
NC_076166.1	2943	1
MN769041.1	2942	1
MN769685.1	2942	1
MN769811.1	2942	1
MN770127.1	2942	1
MN770156.1	2942	1
MN770284.1	2942	1
MN770288.1	2942	1
MN770558.1	2942	1
MN770659.1	2942	1
MN770821.1	2942	1
MN770837.1	2942	1
MN771277.1	2942	1
MZ286187.1	2942	1
KP343858.1	2941	1
MN769124.1	2941	1
MN769219.1	2941	1
MN769380.1	2941	1
MN769404.1	2941	1
MN769457.1	2941	1
MN769630.1	2941	1
MN769691.1	2941	1
MN769752.1	2941	1
MN769967.1	2941	1
MN770203.1	2941	1
MN771224.1	2941	1
MN771433.1	2941	1
MN774978.1	2941	1
MN769659.1	2940	1
MN770325.1	2940	1
MN770581.1	2940	1
MN771204.1	2940	1
OZ258807.1	2940	1
OZ259019.1	2940	1
PP728781.1	2940	1
MN769231.1	2939	1
MN769914.1	2939	1
MN770185.1	2939	1
MN770192.1	2939	1
MN770252.1	2939	1
MN770302.1	2939	1
MN770333.1	2939	1
OK574352.1	2939	1
KX810064.1	2938	1
MN769564.1	2938	1
MN769789.1	2938	1
MN770011.1	2938	1
MN770190.1	2938	1
MN770382.1	2938	1
MN771030.1	2938	1
MN771059.1	2938	1
MN771145.1	2938	1
MZ286171.1	2938	1
NC_076156.1	2938	1
MN769362.1	2937	1
MN769841.1	2937	1
MN769898.1	2937	1
MN770297.1	2937	1
MN770338.1	2937	1
MN770536.1	2937	1
MN770656.1	2937	1
MN770988.1	2937	1
MN771002.1	2937	1
MN771198.1	2937	1
MN771223.1	2937	1
MN771229.1	2937	1
MN771230.1	2937	1
MN771242.1	2937	1
MN771264.1	2937	1
MN771266.1	2937	1
MN771283.1	2937	1
MN771288.1	2937	1
MN771350.1	2937	1
MZ286233.1	2937	1
KP343819.1	2936	1
MN769153.1	2936	1
MN769237.1	2936	1
MN769585.1	2936	1
MN771025.1	2936	1
MN771122.1	2936	1
MN771219.1	2936	1
MZ286077.1	2936	1
MZ286142.1	2936	1
MN769295.1	2935	1
MN769326.1	2935	1
MN769407.1	2935	1
MN769408.1	2935	1
MN769511.1	2935	1
MN770296.1	2935	1
MN770507.1	2935	1
MN770849.1	2935	1
MN770851.1	2935	1
MN771178.1	2935	1
MN771416.1	2935	1
MN771513.1	2935	1
OZ258778.1	2935	1
OZ258990.1	2935	1
MN769188.1	2934	1
MN769195.1	2934	1
MN769519.1	2934	1
MN769531.1	2934	1
MN769723.1	2934	1
MN769818.1	2934	1
MN769864.1	2934	1
MN770061.1	2934	1
MN770292.1	2934	1
MN770313.1	2934	1
MN771043.1	2934	1
MN771227.1	2934	1
MH649199.1	2933	1
MN769192.1	2933	1
MN769395.1	2933	1
MN769413.1	2933	1
MN769588.1	2933	1
MN769917.1	2933	1
MN769949.1	2933	1
MN769951.1	2933	1
MN770075.1	2933	1
MN770080.1	2933	1
MN770227.1	2933	1
MN770556.1	2933	1
MN770601.1	2933	1
MZ286107.1	2933	1
OZ258739.1	2933	1
OZ258951.1	2933	1
MH649183.1	2932	1
MN769690.1	2932	1
MN769904.1	2932	1
MN770076.1	2932	1
MN770113.1	2932	1
MN770704.1	2932	1
MN771129.1	2932	1
MN771498.1	2932	1
MZ286188.1	2932	1
MN769057.1	2931	1
MN769159.1	2931	1
MN769171.1	2931	1
MN769268.1	2931	1
MN769371.1	2931	1
MN769422.1	2931	1
MN769628.1	2931	1
MN769848.1	2931	1
MN769925.1	2931	1
MN770413.1	2931	1
MN770457.1	2931	1
MN770733.1	2931	1
MN770834.1	2931	1
MN771110.1	2931	1
MN771395.1	2931	1
MN771482.1	2931	1
OK574434.1	2931	1
KP343829.1	2930	1
MN769502.1	2930	1
MN769572.1	2930	1
MN769622.1	2930	1
MN769720.1	2930	1
MN769788.1	2930	1
MN770913.1	2930	1
MN771218.1	2930	1
MN771233.1	2930	1
MN771259.1	2930	1
MN771296.1	2930	1
MN771302.1	2930	1
MN771373.1	2930	1
MN771384.1	2930	1
MN771389.1	2930	1
MZ285964.1	2930	1
OK574394.1	2930	1
MN769064.1	2929	1
MN769369.1	2929	1
MN769786.1	2929	1
MN769884.1	2929	1
MN770002.1	2929	1
MN770315.1	2929	1
MN770341.1	2929	1
MN770345.1	2929	1
MN771095.1	2929	1
MN771454.1	2929	1
MN769078.1	2928	1
MN769102.1	2928	1
MN769242.1	2928	1
MN769443.1	2928	1
MN769926.1	2928	1
MN769946.1	2928	1
MN769983.1	2928	1
MN770008.1	2928	1
MN770035.1	2928	1
MN770042.1	2928	1
MN770397.1	2928	1
MN770450.1	2928	1
MN770508.1	2928	1
MN770528.1	2928	1
MN770542.1	2928	1
MN770547.1	2928	1
MN770582.1	2928	1
MN770644.1	2928	1
MN771206.1	2928	1
MZ286030.1	2928	1
MZ286260.1	2928	1
OZ258798.1	2928	1
OZ259010.1	2928	1
MN769059.1	2927	1
MN769118.1	2927	1
MN769121.1	2927	1
MN769348.1	2927	1
MN769654.1	2927	1
MN770906.1	2927	1
MN771161.1	2927	1
MN771194.1	2927	1
MN771241.1	2927	1
MN771274.1	2927	1
MW455423.1	2927	1
MN770647.1	2926	1
MN770815.1	2926	1
MN771034.1	2926	1
MN771269.1	2926	1
MW455359.1	2926	1
MW455443.1	2926	1
MN769206.1	2925	1
MN769826.1	2925	1
MN770781.1	2925	1
MN771033.1	2925	1
MN771345.1	2925	1
MW455444.1	2925	1
MZ286231.1	2925	1
KP343850.1	2924	1
MN769181.1	2924	1
MN770144.1	2924	1
MN770527.1	2924	1
MN770813.1	2924	1
MN770852.1	2924	1
MN770923.1	2924	1
MN769184.1	2923	1
MN769189.1	2923	1
MN769282.1	2923	1
MN769483.1	2923	1
MN769634.1	2923	1
