Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length,phylo_cluster,orf1_genus
OZ258798.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2928,"",188,302,614,Betatorquevirus,OZ258798.1,OZ258798.1_1,672,22,Betatorquevirus
OZ258797.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",11,643,529,Betatorquevirus,OZ258797.1,OZ258797.1_1,676,12,Betatorquevirus
OZ258793.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2902,"",51,30,545,Betatorquevirus,OZ258793.1,OZ258793.1_1,665,5,Betatorquevirus
OZ258790.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2901,"",6,164,522,Betatorquevirus,OZ258790.1,OZ258790.1_1,421,11,Betatorquevirus
OZ258785.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3882,"",25,157,675,Alphatorquevirus,OZ258785.1,OZ258785.1_1,769,30,Alphatorquevirus
OZ258778.1,Betatorquevirus homini15,Betatorquevirus,Anelloviridae,"",3052003,Betatorquevirus homini15,2935,"",2,184,538,Betatorquevirus,OZ258778.1,OZ258778.1_1,680,16,Betatorquevirus
OZ258777.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2859,"",133,669,605,Betatorquevirus,OZ258777.1,OZ258777.1_1,668,24,Betatorquevirus
OZ258776.1,Anellovirus sp.,Unclassified,Anelloviridae,"",3041468,Anellovirus sp.,2892,"",109,79,432,Betatorquevirus,OZ258776.1,OZ258776.1_1,666,27,Hetorquevirus
OZ258775.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",55,254,473,Betatorquevirus,OZ258775.1,OZ258775.1_1,666,10,Betatorquevirus
OZ258771.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2824,"",202,355,386,Betatorquevirus,OZ258771.1,OZ258771.1_1,576,24,Betatorquevirus
OZ258770.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2833,"",113,124,603,Betatorquevirus,OZ258770.1,OZ258770.1_1,664,4,Betatorquevirus
OZ258769.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2951,"",31,34,2,Betatorquevirus,OZ258769.1,OZ258769.1_1,667,16,Betatorquevirus
OZ258764.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2861,"",51,30,492,Betatorquevirus,OZ258764.1,OZ258764.1_1,662,5,Betatorquevirus
OZ258761.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2867,"",186,644,530,Betatorquevirus,OZ258761.1,OZ258761.1_1,535,16,Betatorquevirus
OZ258753.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2829,"",90,127,572,Betatorquevirus,OZ258753.1,OZ258753.1_1,648,21,Betatorquevirus
OZ258751.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2681,"",58,95,599,Betatorquevirus,OZ258751.1,OZ258751.1_1,668,13,Betatorquevirus
OZ258750.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3809,"",72,642,526,Alphatorquevirus,OZ258750.1,OZ258750.1_1,735,31,Alphatorquevirus
OZ258748.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2946,"",7,398,499,Betatorquevirus,OZ258748.1,OZ258748.1_1,427,20,Betatorquevirus
OZ258747.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2872,"",67,53,606,Betatorquevirus,OZ258747.1,OZ258747.1_1,670,20,Betatorquevirus
OZ258742.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",72,672,621,Alphatorquevirus,OZ258742.1,OZ258742.1_1,743,31,Alphatorquevirus
OZ258741.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2856,"",91,650,544,Betatorquevirus,OZ258741.1,OZ258741.1_1,655,15,Betatorquevirus
OZ258739.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2933,"",190,380,360,Betatorquevirus,OZ258739.1,OZ258739.1_1,673,18,Betatorquevirus
OZ258737.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2873,"",223,645,531,Betatorquevirus,OZ258737.1,OZ258737.1_1,657,12,Betatorquevirus
OZ258731.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2948,"",23,47,1130,Betatorquevirus,OZ258731.1,OZ258731.1_1,672,12,Betatorquevirus
OZ258729.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2888,"",192,384,442,Betatorquevirus,OZ258729.1,OZ258729.1_1,610,9,Betatorquevirus
OZ258728.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",168,228,613,Betatorquevirus,OZ258728.1,OZ258728.1_1,556,9,Betatorquevirus
OZ258725.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2904,"",37,48,610,Betatorquevirus,OZ258725.1,OZ258725.1_1,668,20,Betatorquevirus
OZ258724.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",116,239,617,Betatorquevirus,OZ258724.1,OZ258724.1_1,665,9,Betatorquevirus
OZ258723.1,Betatorquevirus homini36,Betatorquevirus,Anelloviridae,"",3052022,Betatorquevirus homini36,2810,"",42,21,516,Betatorquevirus,OZ258723.1,OZ258723.1_1,663,24,Betatorquevirus
OZ258721.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2952,"",57,282,472,Betatorquevirus,OZ258721.1,OZ258721.1_1,670,22,Betatorquevirus
OZ258719.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3473,"",72,670,619,Alphatorquevirus,OZ258719.1,OZ258719.1_1,757,31,Alphatorquevirus
OZ258716.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2978,"",116,436,219,Betatorquevirus,OZ258716.1,OZ258716.1_1,672,9,Betatorquevirus
OZ258715.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2879,"",114,403,607,Betatorquevirus,OZ258715.1,OZ258715.1_1,671,23,Betatorquevirus
OZ258714.1,Hetorquevirus hominid6,Hetorquevirus,Anelloviridae,"",3163396,Hetorquevirus hominid6,2895,"",63,15,402,Hetorquevirus,OZ258714.1,OZ258714.1_1,665,27,Hetorquevirus
OZ258713.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2811,"",135,122,523,Betatorquevirus,OZ258713.1,OZ258713.1_1,652,2,Betatorquevirus
OZ258712.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2725,"",295,668,601,Betatorquevirus,OZ258712.1,OZ258712.1_1,632,3,Betatorquevirus
OZ258705.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3222,"",156,388,841,Gammatorquevirus,OZ258705.1,OZ258705.1_1,666,39,Gammatorquevirus
OZ258700.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3783,"",32,293,462,Alphatorquevirus,OZ258700.1,OZ258700.1_1,755,31,Alphatorquevirus
OZ258698.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3114,"",75,609,365,Gammatorquevirus,OZ258698.1,OZ258698.1_1,664,39,Gammatorquevirus
OZ258697.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2996,"",7,174,618,Betatorquevirus,OZ258697.1,OZ258697.1_1,673,20,Betatorquevirus
OZ258693.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",14,11,477,Alphatorquevirus,OZ258693.1,OZ258693.1_1,648,32,Alphatorquevirus
OZ258692.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3780,"",13,6,502,Alphatorquevirus,OZ258692.1,OZ258692.1_1,765,29,Alphatorquevirus
OZ258684.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3818,"",35,221,484,Alphatorquevirus,OZ258684.1,OZ258684.1_1,760,29,Alphatorquevirus
OZ258675.1,Alphatorquevirus homin20,Alphatorquevirus,Anelloviridae,"",3048422,Alphatorquevirus homin20,3474,"",73,671,620,Alphatorquevirus,OZ258675.1,OZ258675.1_1,761,29,Alphatorquevirus
OZ258672.1,Alphatorquevirus homin13,Alphatorquevirus,Anelloviridae,"",3048415,Alphatorquevirus homin13,3927,"",20,198,622,Alphatorquevirus,OZ258672.1,OZ258672.1_1,779,29,Alphatorquevirus
OZ258670.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",14,279,391,Alphatorquevirus,OZ258670.1,OZ258670.1_1,604,32,Alphatorquevirus
OZ258664.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3762,"",16,4,463,Alphatorquevirus,OZ258664.1,OZ258664.1_1,735,30,Alphatorquevirus
OZ258660.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3750,"",16,204,475,Alphatorquevirus,OZ258660.1,OZ258660.1_1,731,30,Alphatorquevirus
OZ258652.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3837,"",13,6,453,Alphatorquevirus,OZ258652.1,OZ258652.1_1,765,29,Alphatorquevirus
OZ258650.1,Betatorquevirus homini1,Betatorquevirus,Anelloviridae,"",3048395,Betatorquevirus homini1,2845,"",0,0,452,Betatorquevirus,OZ258650.1,OZ258650.1_1,658,2,Betatorquevirus
OZ258632.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3712,"",14,145,435,Alphatorquevirus,OZ258632.1,OZ258632.1_1,641,32,Alphatorquevirus
OZ258626.1,Betatorquevirus homini38,Betatorquevirus,Anelloviridae,"",3052024,Betatorquevirus homini38,2836,"",9,369,456,Betatorquevirus,OZ258626.1,OZ258626.1_1,665,24,Betatorquevirus
OZ258620.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3724,"",14,11,137,Alphatorquevirus,OZ258620.1,OZ258620.1_1,648,32,Alphatorquevirus
OZ258617.1,Alphatorquevirus homin13,Alphatorquevirus,Anelloviridae,"",3048415,Alphatorquevirus homin13,3896,"",20,87,485,Alphatorquevirus,OZ258617.1,OZ258617.1_1,782,29,Alphatorquevirus
OZ258612.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3766,"",136,269,707,Alphatorquevirus,OZ258612.1,OZ258612.1_1,750,29,Alphatorquevirus
OZ258610.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3230,"",75,276,828,Gammatorquevirus,OZ258610.1,OZ258610.1_1,667,39,Gammatorquevirus
OR197588.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,"",93678,TTV-like mini virus,2857,"",39,543,1719,Betatorquevirus,OR197588.1,OR197588.1_1,661,2,Betatorquevirus
OR148955.1,Anellovirus D_HF7_66,Unclassified,Anelloviridae,D_HF7_66,3071193,Anellovirus D_HF7_66,3789,"",13,6,697,Alphatorquevirus,OR148955.1,OR148955.1_1,767,29,Alphatorquevirus
OR148954.1,Anellovirus D_HF6_591,Unclassified,Anelloviridae,D_HF6_591,3071192,Anellovirus D_HF6_591,2876,"",114,403,1591,Betatorquevirus,OR148954.1,OR148954.1_1,670,23,Betatorquevirus
OR148953.1,Anellovirus D_HF6_322,Unclassified,Anelloviridae,D_HF6_322,3071191,Anellovirus D_HF6_322,3780,"",13,6,700,Alphatorquevirus,OR148953.1,OR148953.1_1,765,29,Alphatorquevirus
OQ283124.1,Anelloviridae sp.,Unclassified,Anelloviridae,humanfe115av01,2055263,Anelloviridae sp.,3512,feces,56,202,777,Unclassified,OQ283124.1,OQ283124.1_1,764,30,Alphatorquevirus
OP985294.1,Torque teno virus,Unclassified,Anelloviridae,TTV/hb036-anello-1,68887,Torque teno virus,3721,blood,13,6,717,Alphatorquevirus,OP985294.1,OP985294.1_1,764,29,Alphatorquevirus
OP985293.1,Torque teno virus,Unclassified,Anelloviridae,TTV/hb036-anello-2,68887,Torque teno virus,3609,blood,13,6,750,Alphatorquevirus,OP985293.1,OP985293.1_1,763,29,Alphatorquevirus
OP549860.1,Torque teno midi virus,Unclassified,Anelloviridae,UC156V1_C016,432261,Torque teno midi virus,3213,vagina,65,750,847,Gammatorquevirus,OP549860.1,OP549860.1_1,664,1,Gammatorquevirus
OP549859.1,Torque teno midi virus,Unclassified,Anelloviridae,UC145V1_C197,432261,Torque teno midi virus,3248,vagina,205,523,815,Unclassified,OP549859.1,OP549859.1_1,676,1,Gammatorquevirus
OP549858.1,Torque teno midi virus,Unclassified,Anelloviridae,UC008V3_C344,432261,Torque teno midi virus,3156,vagina,214,768,894,Unclassified,OP549858.1,OP549858.1_1,645,36,Unclassified
OK574443.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBND3F,2809199,Betatorquevirus sp.,2831,blood,48,488,1885,Betatorquevirus,OK574443.1,OK574443.1_1,645,19,Betatorquevirus
OK574439.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBND77,2809199,Betatorquevirus sp.,2898,blood,18,386,1423,Betatorquevirus,OK574439.1,OK574439.1_1,667,17,Betatorquevirus
OK574437.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNR3R,2809199,Betatorquevirus sp.,2829,blood,50,13,1896,Betatorquevirus,OK574437.1,OK574437.1_1,662,5,Betatorquevirus
OK574436.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNFGK,2809199,Betatorquevirus sp.,2815,blood,42,503,1967,Betatorquevirus,OK574436.1,OK574436.1_1,666,24,Betatorquevirus
OK574434.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDUT,2809199,Betatorquevirus sp.,2931,blood,36,520,1205,Betatorquevirus,OK574434.1,OK574434.1_1,670,20,Betatorquevirus
OK574428.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBN8DQ,2809199,Betatorquevirus sp.,2816,blood,69,516,1962,Betatorquevirus,OK574428.1,OK574428.1_1,639,19,Betatorquevirus
OK574427.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNG74,2809199,Betatorquevirus sp.,2981,blood,335,795,1024,Betatorquevirus,OK574427.1,OK574427.1_1,686,23,Betatorquevirus
OK574426.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNRWQ,2809199,Betatorquevirus sp.,2863,blood,285,908,1682,Betatorquevirus,OK574426.1,OK574426.1_1,674,24,Betatorquevirus
OK574422.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNGWC,2809199,Betatorquevirus sp.,2875,blood,18,191,1600,Betatorquevirus,OK574422.1,OK574422.1_1,664,17,Betatorquevirus
OK574421.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDEE,2809199,Betatorquevirus sp.,2853,blood,61,68,1745,Betatorquevirus,OK574421.1,OK574421.1_1,649,21,Betatorquevirus
OK574418.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNFJR,2809199,Betatorquevirus sp.,2752,blood,288,566,2136,Betatorquevirus,OK574418.1,OK574418.1_1,651,19,Betatorquevirus
OK574415.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNGAR,2809199,Betatorquevirus sp.,2809,blood,115,967,2002,Betatorquevirus,OK574415.1,OK574415.1_1,654,2,Betatorquevirus
OK574414.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDSM,2809199,Betatorquevirus sp.,2863,blood,141,146,1681,Betatorquevirus,OK574414.1,OK574414.1_1,661,5,Betatorquevirus
OK574412.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBND1U,2809199,Betatorquevirus sp.,2901,blood,47,854,1399,Betatorquevirus,OK574412.1,OK574412.1_1,680,20,Betatorquevirus
OK574411.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDWX,2809199,Betatorquevirus sp.,2840,blood,39,65,1833,Betatorquevirus,OK574411.1,OK574411.1_1,652,2,Betatorquevirus
OK574410.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNRC9,2809199,Betatorquevirus sp.,2860,blood,363,468,1703,Betatorquevirus,OK574410.1,OK574410.1_1,649,21,Betatorquevirus
OK574405.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNFOI,2809199,Betatorquevirus sp.,2978,blood,37,58,1032,Betatorquevirus,OK574405.1,OK574405.1_1,685,20,Betatorquevirus
OK574402.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNF9Z,2809199,Betatorquevirus sp.,2903,blood,17,352,1379,Betatorquevirus,OK574402.1,OK574402.1_1,673,7,Betatorquevirus
OK574395.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNF1T,2809199,Betatorquevirus sp.,2810,blood,0,214,1998,Betatorquevirus,OK574395.1,OK574395.1_1,654,2,Betatorquevirus
OK574394.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDQH,2809199,Betatorquevirus sp.,2930,blood,36,500,1211,Betatorquevirus,OK574394.1,OK574394.1_1,671,20,Betatorquevirus
OK574388.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNF59,2809199,Betatorquevirus sp.,2866,blood,142,150,1659,Betatorquevirus,OK574388.1,OK574388.1_1,660,17,Betatorquevirus
OK574387.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNG3N,2809199,Betatorquevirus sp.,2967,blood,7,162,1055,Betatorquevirus,OK574387.1,OK574387.1_1,678,20,Betatorquevirus
OK574383.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBN8M6,2809199,Betatorquevirus sp.,2901,blood,327,853,1398,Betatorquevirus,OK574383.1,OK574383.1_1,655,10,Betatorquevirus
OK574382.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,TF1YBNFTU,2809423,Gammatorquevirus sp.,3175,blood,123,764,879,Gammatorquevirus,OK574382.1,OK574382.1_1,656,1,Gammatorquevirus
OK574374.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,TF1YBNF3D,2809423,Gammatorquevirus sp.,3241,blood,93,745,821,Gammatorquevirus,OK574374.1,OK574374.1_1,672,39,Gammatorquevirus
OK574371.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNRTW,2809199,Betatorquevirus sp.,2863,blood,124,907,1680,Betatorquevirus,OK574371.1,OK574371.1_1,657,24,Betatorquevirus
OK574370.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNFH7,2809199,Betatorquevirus sp.,2958,blood,60,182,1091,Betatorquevirus,OK574370.1,OK574370.1_1,675,20,Betatorquevirus
OK574365.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDFQ,2809199,Betatorquevirus sp.,2842,blood,101,92,1817,Betatorquevirus,OK574365.1,OK574365.1_1,664,24,Betatorquevirus
OK574363.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNFZ8,2809199,Betatorquevirus sp.,2953,blood,7,812,1110,Betatorquevirus,OK574363.1,OK574363.1_1,669,20,Betatorquevirus
OK574362.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNRX3,2809199,Betatorquevirus sp.,2805,blood,202,971,2021,Betatorquevirus,OK574362.1,OK574362.1_1,662,24,Betatorquevirus
OK574352.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNGHH,2809199,Betatorquevirus sp.,2939,blood,1,273,1167,Betatorquevirus,OK574352.1,OK574352.1_1,668,10,Betatorquevirus
OK574350.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,TF1YBNDCY,2809199,Betatorquevirus sp.,2900,blood,60,258,1412,Betatorquevirus,OK574350.1,OK574350.1_1,666,20,Betatorquevirus
OK574345.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,TF1YBNDZJ,2809423,Gammatorquevirus sp.,3205,blood,308,752,853,Gammatorquevirus,OK574345.1,OK574345.1_1,661,1,Gammatorquevirus
NC_038359.1,Gammatorquevirus homidi12,Gammatorquevirus,Anelloviridae,MDJN51,2065053,Torque teno midi virus 12,3187,blood,177,559,866,Gammatorquevirus,NC_038359.1,NC_038359.1_1,664,39,Gammatorquevirus
NC_038351.1,Gammatorquevirus homidi4,Gammatorquevirus,Anelloviridae,6PoSMA,2065045,Torque teno midi virus 4,2454,blood,323,1023,2238,Gammatorquevirus,NC_038351.1,NC_038351.1_1,658,1,Gammatorquevirus
NC_038350.1,Gammatorquevirus homidi3,Gammatorquevirus,Anelloviridae,2PoSMA,2065044,Torque teno midi virus 3,2002,blood,325,1031,2269,Gammatorquevirus,NC_038350.1,NC_038350.1_1,533,1,Gammatorquevirus
NC_038346.1,Betatorquevirus homini11,Betatorquevirus,Anelloviridae,LIL-y2,2065037,Torque teno mini virus 11,2871,blood,69,56,1628,Betatorquevirus,NC_038346.1,NC_038346.1_1,662,19,Betatorquevirus
NC_038345.1,Betatorquevirus homini10,Betatorquevirus,Anelloviridae,LIL-y1,2065036,Torque teno mini virus 10,2887,blood,164,259,1515,Betatorquevirus,NC_038345.1,NC_038345.1_1,650,21,Betatorquevirus
NC_038337.1,Alphatorquevirus homin9,Alphatorquevirus,Anelloviridae,BM1C,687348,Torque teno virus 9,3064,bone,203,510,930,Alphatorquevirus,NC_038337.1,NC_038337.1_1,409,31,Alphatorquevirus
MZ825126.1,Anelloviridae sp.,Unclassified,Anelloviridae,SPI29_C3,2055263,Anelloviridae sp.,2972,blood,1,110,1046,Betatorquevirus,MZ825126.1,MZ825126.1_1,670,10,Betatorquevirus
MZ286292.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP60_C4,2055263,Anelloviridae sp.,2889,blood,141,146,1504,Betatorquevirus,MZ286292.1,MZ286292.1_1,662,5,Betatorquevirus
MZ286291.1,Anelloviridae sp.,Unclassified,Anelloviridae,SP59_C2,2055263,Anelloviridae sp.,2824,blood,9,213,414,Betatorquevirus,MZ286291.1,MZ286291.1_1,665,24,Betatorquevirus
