Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length
OZ259010.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2928,"",188,302,614,Betatorquevirus,OZ258798.1,OZ259010.1_1,672
OZ259009.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",11,643,529,Betatorquevirus,OZ258797.1,OZ259009.1_1,676
OZ259005.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2902,"",51,30,545,Betatorquevirus,OZ258793.1,OZ259005.1_1,665
OZ259003.1,Anellovirus sp.,Unclassified,Anelloviridae,"",3041468,Anellovirus sp.,2792,"",132,133,54,Betatorquevirus,MN770248.1,OZ259003.1_1,672
OZ259002.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2901,"",6,164,522,Betatorquevirus,OZ258790.1,OZ259002.1_1,421
OZ258997.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3882,"",25,157,676,Alphatorquevirus,OZ258785.1,OZ258997.1_1,769
OZ258990.1,Betatorquevirus homini15,Betatorquevirus,Anelloviridae,"",3052003,Betatorquevirus homini15,2935,"",2,184,538,Betatorquevirus,OZ258778.1,OZ258990.1_1,680
OZ258989.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2859,"",133,669,605,Betatorquevirus,OZ258777.1,OZ258989.1_1,668
OZ258988.1,Anellovirus sp.,Unclassified,Anelloviridae,"",3041468,Anellovirus sp.,2892,"",109,79,432,Betatorquevirus,OZ258776.1,OZ258988.1_1,666
OZ258987.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",55,254,473,Betatorquevirus,OZ258775.1,OZ258987.1_1,666
OZ258985.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2949,"",34,38,123,Betatorquevirus,MN770748.1,OZ258985.1_1,674
OZ258983.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2824,"",202,355,386,Betatorquevirus,OZ258771.1,OZ258983.1_1,576
OZ258982.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2833,"",113,124,603,Betatorquevirus,OZ258770.1,OZ258982.1_1,664
OZ258981.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2951,"",31,34,2,Betatorquevirus,OZ258769.1,OZ258981.1_1,667
OZ258976.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2861,"",51,30,492,Betatorquevirus,OZ258764.1,OZ258976.1_1,662
OZ258975.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2972,"",22,17,61,Betatorquevirus,MN771177.1,OZ258975.1_1,674
OZ258973.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2867,"",186,644,530,Betatorquevirus,OZ258761.1,OZ258973.1_1,535
OZ258965.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2829,"",90,127,572,Betatorquevirus,OZ258753.1,OZ258965.1_1,648
OZ258963.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2681,"",58,95,599,Betatorquevirus,OZ258751.1,OZ258963.1_1,668
OZ258962.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3809,"",72,642,526,Alphatorquevirus,OZ258750.1,OZ258962.1_1,735
OZ258960.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2946,"",7,398,499,Betatorquevirus,OZ258748.1,OZ258960.1_1,427
OZ258959.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2872,"",67,53,606,Betatorquevirus,OZ258747.1,OZ258959.1_1,670
OZ258956.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3832,"",25,157,423,Alphatorquevirus,OZ258785.1,OZ258956.1_1,769
OZ258954.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",72,672,621,Alphatorquevirus,OZ258742.1,OZ258954.1_1,743
OZ258953.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2856,"",91,650,544,Betatorquevirus,OZ258741.1,OZ258953.1_1,655
OZ258951.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2933,"",190,380,360,Betatorquevirus,OZ258739.1,OZ258951.1_1,673
OZ258949.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2873,"",223,645,531,Betatorquevirus,OZ258737.1,OZ258949.1_1,657
OZ258948.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2811,"",102,172,1989,Betatorquevirus,MN770506.1,OZ258948.1_1,488
OZ258943.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2948,"",23,47,1131,Betatorquevirus,OZ258731.1,OZ258943.1_1,672
OZ258942.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3473,"",72,425,507,Alphatorquevirus,MN765199.1,OZ258942.1_1,752
OZ258941.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2888,"",192,384,442,Betatorquevirus,OZ258729.1,OZ258941.1_1,610
OZ258940.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",168,228,613,Betatorquevirus,OZ258728.1,OZ258940.1_1,556
OZ258938.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2904,"",34,317,407,Betatorquevirus,MN770128.1,OZ258938.1_1,670
OZ258937.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2904,"",37,48,610,Betatorquevirus,OZ258725.1,OZ258937.1_1,668
OZ258936.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",116,239,617,Betatorquevirus,OZ258724.1,OZ258936.1_1,665
OZ258935.1,Betatorquevirus homini36,Betatorquevirus,Anelloviridae,"",3052022,Betatorquevirus homini36,2810,"",42,21,516,Betatorquevirus,OZ258723.1,OZ258935.1_1,663
OZ258933.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2952,"",57,282,472,Betatorquevirus,OZ258721.1,OZ258933.1_1,670
OZ258931.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3473,"",72,670,619,Alphatorquevirus,OZ258719.1,OZ258931.1_1,757
OZ258928.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2978,"",116,436,219,Betatorquevirus,OZ258716.1,OZ258928.1_1,672
OZ258927.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2879,"",114,403,607,Betatorquevirus,OZ258715.1,OZ258927.1_1,671
OZ258926.1,Hetorquevirus hominid6,Hetorquevirus,Anelloviridae,"",3163396,Hetorquevirus hominid6,2895,"",63,15,402,Hetorquevirus,OZ258714.1,OZ258926.1_1,665
OZ258925.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2811,"",135,122,523,Betatorquevirus,OZ258713.1,OZ258925.1_1,652
OZ258924.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2725,"",295,668,601,Betatorquevirus,OZ258712.1,OZ258924.1_1,632
OZ258923.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2782,"",135,122,2089,Betatorquevirus,OZ258713.1,OZ258923.1_1,652
OZ258921.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3744,"",35,18,114,Alphatorquevirus,MZ286056.1,OZ258921.1_1,760
OZ258919.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2869,"",89,46,1641,Betatorquevirus,MN771135.1,OZ258919.1_1,662
OZ258917.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3222,"",156,388,842,Gammatorquevirus,OZ258705.1,OZ258917.1_1,666
OZ258913.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3724,"",14,11,137,Alphatorquevirus,OZ258620.1,OZ258913.1_1,648
OZ258912.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3783,"",32,293,462,Alphatorquevirus,OZ258700.1,OZ258912.1_1,755
OZ258910.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3114,"",75,609,365,Gammatorquevirus,OZ258698.1,OZ258910.1_1,664
OZ258909.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2996,"",7,174,618,Betatorquevirus,OZ258697.1,OZ258909.1_1,673
OZ258907.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3820,"",35,18,114,Alphatorquevirus,MZ286056.1,OZ258907.1_1,760
OZ258905.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",14,11,477,Alphatorquevirus,OZ258693.1,OZ258905.1_1,648
OZ258904.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3780,"",13,6,502,Alphatorquevirus,OZ258692.1,OZ258904.1_1,765
OZ258896.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3818,"",35,221,484,Alphatorquevirus,OZ258684.1,OZ258896.1_1,760
OZ258887.1,Alphatorquevirus homin20,Alphatorquevirus,Anelloviridae,"",3048422,Alphatorquevirus homin20,3474,"",73,671,620,Alphatorquevirus,OZ258675.1,OZ258887.1_1,761
OZ258884.1,Alphatorquevirus homin13,Alphatorquevirus,Anelloviridae,"",3048415,Alphatorquevirus homin13,3927,"",20,198,622,Alphatorquevirus,OZ258672.1,OZ258884.1_1,779
OZ258882.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",14,279,391,Alphatorquevirus,OZ258670.1,OZ258882.1_1,604
OZ258876.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3762,"",16,4,463,Alphatorquevirus,OZ258664.1,OZ258876.1_1,735
OZ258872.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3750,"",16,204,475,Alphatorquevirus,OZ258660.1,OZ258872.1_1,731
OZ258864.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3837,"",13,6,453,Alphatorquevirus,OZ258652.1,OZ258864.1_1,765
OZ258862.1,Betatorquevirus homini1,Betatorquevirus,Anelloviridae,"",3048395,Betatorquevirus homini1,2845,"",0,0,452,Betatorquevirus,OZ258650.1,OZ258862.1_1,658
OZ258851.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3817,"",35,221,483,Alphatorquevirus,OZ258684.1,OZ258851.1_1,760
OZ258844.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3712,"",14,145,435,Alphatorquevirus,OZ258632.1,OZ258844.1_1,641
OZ258838.1,Betatorquevirus homini38,Betatorquevirus,Anelloviridae,"",3052024,Betatorquevirus homini38,2836,"",9,369,456,Betatorquevirus,OZ258626.1,OZ258838.1_1,665
OZ258832.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3724,"",14,11,137,Alphatorquevirus,OZ258620.1,OZ258832.1_1,648
OZ258829.1,Alphatorquevirus homin13,Alphatorquevirus,Anelloviridae,"",3048415,Alphatorquevirus homin13,3896,"",20,87,485,Alphatorquevirus,OZ258617.1,OZ258829.1_1,782
OZ258816.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3150,"",175,145,378,Alphatorquevirus,OZ258816.1,OZ258816.1_1,662
OZ258810.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2898,"",23,47,27,Betatorquevirus,OZ258731.1,OZ258810.1_1,672
OZ258809.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",36,167,612,Betatorquevirus,OZ258809.1,OZ258809.1_1,670
OZ258807.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2940,"",31,131,359,Betatorquevirus,OZ258807.1,OZ258807.1_1,666
OZ258804.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2720,"",120,387,325,Betatorquevirus,OZ258804.1,OZ258804.1_1,655
OZ258803.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3687,"",74,395,373,Alphatorquevirus,OZ258803.1,OZ258803.1_1,652
OZ258799.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3757,"",70,287,476,Alphatorquevirus,OZ258799.1,OZ258799.1_1,742
OZ258798.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2928,"",188,302,614,Betatorquevirus,OZ258798.1,OZ258798.1_1,672
OZ258797.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",11,643,529,Betatorquevirus,OZ258797.1,OZ258797.1_1,676
OZ258793.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2902,"",51,30,545,Betatorquevirus,OZ258793.1,OZ258793.1_1,665
OZ258791.1,Anellovirus sp.,Unclassified,Anelloviridae,"",3041468,Anellovirus sp.,2792,"",132,133,54,Betatorquevirus,MN770248.1,OZ258791.1_1,672
OZ258790.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2901,"",6,164,522,Betatorquevirus,OZ258790.1,OZ258790.1_1,421
OZ258785.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3882,"",25,157,675,Alphatorquevirus,OZ258785.1,OZ258785.1_1,769
OZ258778.1,Betatorquevirus homini15,Betatorquevirus,Anelloviridae,"",3052003,Betatorquevirus homini15,2935,"",2,184,538,Betatorquevirus,OZ258778.1,OZ258778.1_1,680
OZ258777.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2859,"",133,669,605,Betatorquevirus,OZ258777.1,OZ258777.1_1,668
OZ258776.1,Anellovirus sp.,Unclassified,Anelloviridae,"",3041468,Anellovirus sp.,2892,"",109,79,432,Betatorquevirus,OZ258776.1,OZ258776.1_1,666
OZ258775.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",55,254,473,Betatorquevirus,OZ258775.1,OZ258775.1_1,666
OZ258773.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2949,"",34,38,123,Betatorquevirus,MN770748.1,OZ258773.1_1,674
OZ258771.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2824,"",202,355,386,Betatorquevirus,OZ258771.1,OZ258771.1_1,576
OZ258770.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2833,"",113,124,603,Betatorquevirus,OZ258770.1,OZ258770.1_1,664
OZ258769.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2951,"",31,34,2,Betatorquevirus,OZ258769.1,OZ258769.1_1,667
OZ258764.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2861,"",51,30,492,Betatorquevirus,OZ258764.1,OZ258764.1_1,662
OZ258763.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2972,"",22,17,61,Betatorquevirus,MN771177.1,OZ258763.1_1,674
OZ258761.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2867,"",186,644,530,Betatorquevirus,OZ258761.1,OZ258761.1_1,535
OZ258753.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2829,"",90,127,572,Betatorquevirus,OZ258753.1,OZ258753.1_1,648
OZ258751.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2681,"",58,95,599,Betatorquevirus,OZ258751.1,OZ258751.1_1,668
OZ258750.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3809,"",72,642,526,Alphatorquevirus,OZ258750.1,OZ258750.1_1,735
OZ258748.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2946,"",7,398,499,Betatorquevirus,OZ258748.1,OZ258748.1_1,427
OZ258747.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2872,"",67,53,606,Betatorquevirus,OZ258747.1,OZ258747.1_1,670
OZ258744.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3832,"",25,157,423,Alphatorquevirus,OZ258785.1,OZ258744.1_1,769
OZ258742.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3726,"",72,672,621,Alphatorquevirus,OZ258742.1,OZ258742.1_1,743
OZ258741.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2856,"",91,650,544,Betatorquevirus,OZ258741.1,OZ258741.1_1,655
OZ258739.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2933,"",190,380,360,Betatorquevirus,OZ258739.1,OZ258739.1_1,673
OZ258737.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2873,"",223,645,531,Betatorquevirus,OZ258737.1,OZ258737.1_1,657
OZ258736.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2811,"",102,172,1988,Betatorquevirus,MN770506.1,OZ258736.1_1,488
OZ258731.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2948,"",23,47,1130,Betatorquevirus,OZ258731.1,OZ258731.1_1,672
OZ258730.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3473,"",72,425,507,Alphatorquevirus,MN765199.1,OZ258730.1_1,752
OZ258729.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2888,"",192,384,442,Betatorquevirus,OZ258729.1,OZ258729.1_1,610
OZ258728.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",168,228,613,Betatorquevirus,OZ258728.1,OZ258728.1_1,556
OZ258726.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2904,"",34,317,407,Betatorquevirus,MN770128.1,OZ258726.1_1,670
OZ258725.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2904,"",37,48,610,Betatorquevirus,OZ258725.1,OZ258725.1_1,668
OZ258724.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2958,"",116,239,617,Betatorquevirus,OZ258724.1,OZ258724.1_1,665
OZ258723.1,Betatorquevirus homini36,Betatorquevirus,Anelloviridae,"",3052022,Betatorquevirus homini36,2810,"",42,21,516,Betatorquevirus,OZ258723.1,OZ258723.1_1,663
OZ258721.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2952,"",57,282,472,Betatorquevirus,OZ258721.1,OZ258721.1_1,670
OZ258719.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3473,"",72,670,619,Alphatorquevirus,OZ258719.1,OZ258719.1_1,757
OZ258716.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2978,"",116,436,219,Betatorquevirus,OZ258716.1,OZ258716.1_1,672
OZ258715.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2879,"",114,403,607,Betatorquevirus,OZ258715.1,OZ258715.1_1,671
OZ258714.1,Hetorquevirus hominid6,Hetorquevirus,Anelloviridae,"",3163396,Hetorquevirus hominid6,2895,"",63,15,402,Hetorquevirus,OZ258714.1,OZ258714.1_1,665
OZ258713.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2811,"",135,122,523,Betatorquevirus,OZ258713.1,OZ258713.1_1,652
OZ258712.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2725,"",295,668,601,Betatorquevirus,OZ258712.1,OZ258712.1_1,632
OZ258711.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2782,"",135,122,2088,Betatorquevirus,OZ258713.1,OZ258711.1_1,652
OZ258709.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3744,"",35,18,114,Alphatorquevirus,MZ286056.1,OZ258709.1_1,760
OZ258707.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2869,"",89,46,1640,Betatorquevirus,MN771135.1,OZ258707.1_1,662
OZ258705.1,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,"",2809423,Gammatorquevirus sp.,3222,"",156,388,841,Gammatorquevirus,OZ258705.1,OZ258705.1_1,666
OZ258701.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3724,"",14,11,137,Alphatorquevirus,OZ258620.1,OZ258701.1_1,648
OZ258700.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3783,"",32,293,462,Alphatorquevirus,OZ258700.1,OZ258700.1_1,755
