orf_id,phylo_cluster,orf1_genus
MZ286065.1_1,4,Betatorquevirus
MZ286269.1_1,4,Betatorquevirus
MZ286190.1_1,4,Betatorquevirus
MZ286207.1_1,4,Betatorquevirus
MZ286236.1_1,4,Betatorquevirus
MZ286034.1_1,4,Betatorquevirus
MZ286111.1_1,4,Betatorquevirus
MZ286072.1_1,5,Betatorquevirus
MZ286226.1_1,5,Betatorquevirus
MW455419.1_1,5,Betatorquevirus
MZ286254.1_1,5,Betatorquevirus
MW455381.1_1,5,Betatorquevirus
MZ286196.1_1,5,Betatorquevirus
MW455398.1_1,5,Betatorquevirus
MH649141.1_1,5,Betatorquevirus
MZ286292.1_1,5,Betatorquevirus
MZ286262.1_1,5,Betatorquevirus
MZ286234.1_1,5,Betatorquevirus
MH648999.1_1,5,Betatorquevirus
MZ286237.1_1,5,Betatorquevirus
MZ286276.1_1,5,Betatorquevirus
MH648897.1_1,5,Betatorquevirus
MH649002.1_1,5,Betatorquevirus
MZ286244.1_1,5,Betatorquevirus
MW455364.1_1,5,Betatorquevirus
KP343832.1_1,5,Betatorquevirus
MH649006.1_1,5,Betatorquevirus
MH649106.1_1,5,Betatorquevirus
MZ286044.1_1,5,Betatorquevirus
MZ286133.1_1,6,Betatorquevirus
MW455403.1_1,6,Betatorquevirus
MZ286231.1_1,7,Betatorquevirus
MH649228.1_1,7,Betatorquevirus
MH649183.1_1,7,Betatorquevirus
MH649045.1_1,7,Betatorquevirus
MZ286253.1_1,7,Betatorquevirus
MH649009.1_1,7,Betatorquevirus
MH649157.1_1,7,Betatorquevirus
MH649172.1_1,7,Betatorquevirus
MW455354.1_1,7,Betatorquevirus
MH649189.1_1,7,Betatorquevirus
MH649040.1_1,7,Betatorquevirus
MH649224.1_1,7,Betatorquevirus
MW455388.1_1,7,Betatorquevirus
MH649125.1_1,7,Betatorquevirus
KP343836.1_1,7,Betatorquevirus
MH649174.1_1,7,Betatorquevirus
MH649185.1_1,7,Betatorquevirus
KP343818.1_1,7,Betatorquevirus
MH649068.1_1,7,Betatorquevirus
MH649061.1_1,7,Betatorquevirus
KP343835.1_1,7,Betatorquevirus
MH649186.1_1,7,Betatorquevirus
MH648957.1_1,7,Betatorquevirus
KP343834.1_1,7,Betatorquevirus
MZ286194.1_1,8,Betatorquevirus
MW455427.1_1,8,Betatorquevirus
MZ286282.1_1,8,Betatorquevirus
MZ286263.1_1,9,Betatorquevirus
MZ286004.1_1,9,Betatorquevirus
MH648910.1_1,9,Betatorquevirus
MZ286260.1_1,10,Betatorquevirus
KP343862.1_1,10,Betatorquevirus
MZ825126.1_1,10,Betatorquevirus
KP343860.1_1,10,Betatorquevirus
MZ286268.1_1,10,Betatorquevirus
MZ286279.1_1,10,Betatorquevirus
MW455363.1_1,10,Betatorquevirus
MW455434.1_1,10,Betatorquevirus
KP343833.1_1,10,Betatorquevirus
MH649204.1_1,10,Betatorquevirus
MZ286187.1_1,11,Betatorquevirus
MZ286242.1_1,13,Betatorquevirus
MZ286272.1_1,13,Betatorquevirus
MZ286281.1_1,14,Betatorquevirus
MZ286229.1_1,15,Betatorquevirus
KP343854.1_1,15,Betatorquevirus
MZ286288.1_1,15,Betatorquevirus
MT506588.1_1,15,Betatorquevirus
MH648907.1_1,15,Betatorquevirus
MZ286233.1_1,13,Betatorquevirus
MZ286280.1_1,13,Betatorquevirus
MZ286195.1_1,17,Betatorquevirus
KP343864.1_1,17,Betatorquevirus
MZ286230.1_1,17,Betatorquevirus
MH649241.1_1,17,Betatorquevirus
MZ286249.1_1,17,Betatorquevirus
MH649161.1_1,17,Betatorquevirus
MH649101.1_1,17,Betatorquevirus
MH649056.1_1,17,Betatorquevirus
MW455430.1_1,17,Betatorquevirus
MH648892.1_1,17,Betatorquevirus
MZ286255.1_1,17,Betatorquevirus
MH648989.1_1,17,Betatorquevirus
MZ286290.1_1,17,Betatorquevirus
MZ286033.1_1,17,Betatorquevirus
MH649084.1_1,17,Betatorquevirus
MZ286171.1_1,18,Betatorquevirus
MZ286271.1_1,18,Betatorquevirus
MZ286127.1_1,19,Betatorquevirus
MZ286219.1_1,19,Betatorquevirus
MW455428.1_1,19,Betatorquevirus
MZ286239.1_1,19,Betatorquevirus
MZ286240.1_1,19,Betatorquevirus
MW455409.1_1,19,Betatorquevirus
MZ286243.1_1,19,Betatorquevirus
KP343858.1_1,19,Betatorquevirus
MW455358.1_1,19,Betatorquevirus
MZ286136.1_1,20,Betatorquevirus
MW455445.1_1,20,Betatorquevirus
MZ286246.1_1,20,Betatorquevirus
MZ286258.1_1,20,Betatorquevirus
MZ286285.1_1,20,Betatorquevirus
MZ286241.1_1,20,Betatorquevirus
MH648966.1_1,20,Betatorquevirus
MZ286265.1_1,21,Betatorquevirus
KP343857.1_1,21,Betatorquevirus
MH649263.1_1,21,Betatorquevirus
MZ286048.1_1,21,Betatorquevirus
KP343856.1_1,21,Betatorquevirus
MZ286134.1_1,22,Betatorquevirus
MT157223.1_1,22,Betatorquevirus
MT210805.1_1,22,Betatorquevirus
MH649029.1_1,23,Betatorquevirus
KP343819.1_1,23,Betatorquevirus
MH649199.1_1,23,Betatorquevirus
OR148954.1_1,23,Betatorquevirus
MZ286082.1_1,24,Betatorquevirus
KP343850.1_1,24,Betatorquevirus
MZ286267.1_1,24,Betatorquevirus
MH649223.1_1,24,Betatorquevirus
MZ286247.1_1,24,Betatorquevirus
MZ286259.1_1,24,Betatorquevirus
MZ286252.1_1,24,Betatorquevirus
MH649083.1_1,24,Betatorquevirus
MH648982.1_1,24,Betatorquevirus
MH649087.1_1,24,Betatorquevirus
MZ286286.1_1,24,Betatorquevirus
MZ286291.1_1,24,Betatorquevirus
MZ286192.1_1,24,Betatorquevirus
KP343849.1_1,24,Betatorquevirus
KP343848.1_1,24,Betatorquevirus
MZ286228.1_1,24,Betatorquevirus
MH648985.1_1,24,Betatorquevirus
KP343853.1_1,24,Betatorquevirus
MH649028.1_1,24,Betatorquevirus
KP343830.1_1,24,Betatorquevirus
KP343851.1_1,24,Betatorquevirus
MZ285991.1_1,24,Betatorquevirus
MH648983.1_1,24,Betatorquevirus
MW455402.1_1,24,Betatorquevirus
MH648900.1_1,24,Betatorquevirus
KP343829.1_1,24,Betatorquevirus
MZ286084.1_1,24,Betatorquevirus
MH649209.1_1,24,Betatorquevirus
MH648986.1_1,24,Betatorquevirus
MZ286248.1_1,24,Betatorquevirus
MZ286224.1_1,25,Betatorquevirus
MH648912.1_1,25,Betatorquevirus
KP343852.1_1,25,Betatorquevirus
MZ286278.1_1,25,Betatorquevirus
MZ286284.1_1,25,Betatorquevirus
OZ258776.1_1,27,Hetorquevirus
MK212032.1_1,27,Hetorquevirus
MZ286056.1_1,29,Alphatorquevirus
MZ286206.1_1,29,Alphatorquevirus
MZ286047.1_1,29,Alphatorquevirus
MZ286157.1_1,29,Alphatorquevirus
MW455346.1_1,29,Alphatorquevirus
MW455347.1_1,29,Alphatorquevirus
MZ286011.1_1,29,Alphatorquevirus
MW455422.1_1,29,Alphatorquevirus
KP343841.1_1,29,Alphatorquevirus
MH648959.1_1,29,Alphatorquevirus
MZ286057.1_1,29,Alphatorquevirus
MZ286144.1_1,29,Alphatorquevirus
MZ285984.1_1,29,Alphatorquevirus
MW455387.1_1,29,Alphatorquevirus
MH648916.1_1,29,Alphatorquevirus
MZ286070.1_1,29,Alphatorquevirus
KM593802.2_1,29,Alphatorquevirus
MH648893.1_1,29,Alphatorquevirus
MZ285985.1_1,29,Alphatorquevirus
MK820646.1_1,29,Alphatorquevirus
KP343842.1_1,29,Alphatorquevirus
MH648997.1_1,29,Alphatorquevirus
MZ286115.1_1,29,Alphatorquevirus
MZ286152.1_1,29,Alphatorquevirus
MZ286218.1_1,29,Alphatorquevirus
MZ286168.1_1,29,Alphatorquevirus
MW455380.1_1,29,Alphatorquevirus
MW455414.1_1,29,Alphatorquevirus
KP343838.1_1,29,Alphatorquevirus
MZ286018.1_1,29,Alphatorquevirus
MZ286074.1_1,29,Alphatorquevirus
MH649014.1_1,29,Alphatorquevirus
MT783405.1_1,29,Alphatorquevirus
MZ285992.1_1,29,Alphatorquevirus
MW455352.1_1,29,Alphatorquevirus
MZ285971.1_1,29,Alphatorquevirus
MH648995.1_1,29,Alphatorquevirus
MW455351.1_1,29,Alphatorquevirus
MH648925.1_1,29,Alphatorquevirus
MZ286086.1_1,29,Alphatorquevirus
MZ286161.1_1,29,Alphatorquevirus
MW455348.1_1,29,Alphatorquevirus
MZ285982.1_1,29,Alphatorquevirus
MK820645.1_1,29,Alphatorquevirus
MZ286099.1_1,29,Alphatorquevirus
MH648969.1_1,29,Alphatorquevirus
OR148955.1_1,29,Alphatorquevirus
MZ285976.1_1,29,Alphatorquevirus
MZ286031.1_1,29,Alphatorquevirus
MZ286042.1_1,29,Alphatorquevirus
MN765196.1_1,29,Alphatorquevirus
MZ286220.1_1,29,Alphatorquevirus
MZ286014.1_1,29,Alphatorquevirus
OR148953.1_1,29,Alphatorquevirus
MH648976.1_1,29,Alphatorquevirus
MH649142.1_1,29,Alphatorquevirus
MZ286105.1_1,29,Alphatorquevirus
PP374828.1_1,29,Alphatorquevirus
OP985294.1_1,29,Alphatorquevirus
MH649037.1_1,29,Alphatorquevirus
OP985293.1_1,29,Alphatorquevirus
MW679003.1_1,29,Alphatorquevirus
MZ286170.1_1,29,Alphatorquevirus
MZ286046.1_1,29,Alphatorquevirus
MH649256.1_1,29,Alphatorquevirus
MZ286113.1_1,29,Alphatorquevirus
AY823988.1_1,29,Alphatorquevirus
MZ286101.1_1,29,Alphatorquevirus
MH649113.1_1,29,Alphatorquevirus
MH649158.1_1,29,Alphatorquevirus
MW455401.1_1,29,Alphatorquevirus
MW455384.1_1,29,Alphatorquevirus
MZ286022.1_1,29,Alphatorquevirus
MH649062.1_1,29,Alphatorquevirus
MZ286038.1_1,29,Alphatorquevirus
MH648911.1_1,29,Alphatorquevirus
MZ286076.1_1,29,Alphatorquevirus
MZ285987.1_1,29,Alphatorquevirus
MH649042.1_1,29,Alphatorquevirus
MZ286100.1_1,29,Alphatorquevirus
MZ286130.1_1,29,Alphatorquevirus
MN765201.1_1,29,Alphatorquevirus
HM224451.1_1,29,Alphatorquevirus
MN765202.1_1,29,Alphatorquevirus
MZ286184.1_1,29,Alphatorquevirus
PP374831.1_1,29,Alphatorquevirus
MW455448.1_1,29,Alphatorquevirus
MH649178.1_1,29,Alphatorquevirus
MN765197.1_1,29,Alphatorquevirus
MW455397.1_1,29,Alphatorquevirus
KP343846.1_1,29,Alphatorquevirus
MW455435.1_1,29,Alphatorquevirus
MW679006.1_1,29,Alphatorquevirus
MN765195.1_1,29,Alphatorquevirus
PP374829.1_1,29,Alphatorquevirus
PP374835.1_1,29,Alphatorquevirus
PP374830.1_1,29,Alphatorquevirus
MW455392.1_1,29,Alphatorquevirus
MZ285978.1_1,29,Alphatorquevirus
MH649210.1_1,29,Alphatorquevirus
MZ285979.1_1,29,Alphatorquevirus
MZ286063.1_1,29,Alphatorquevirus
MZ286114.1_1,29,Alphatorquevirus
MW455389.1_1,29,Alphatorquevirus
MZ286097.1_1,29,Alphatorquevirus
MZ286118.1_1,29,Alphatorquevirus
MW455420.1_1,29,Alphatorquevirus
MZ286182.1_1,29,Alphatorquevirus
MH649039.1_1,29,Alphatorquevirus
MH649137.1_1,29,Alphatorquevirus
MZ286215.1_1,29,Alphatorquevirus
MZ286128.1_1,29,Alphatorquevirus
MW455390.1_1,29,Alphatorquevirus
MH649122.1_1,29,Alphatorquevirus
MT783404.1_1,29,Alphatorquevirus
KP343840.1_1,29,Alphatorquevirus
PP374832.1_1,29,Alphatorquevirus
MZ286102.1_1,29,Alphatorquevirus
KJ194502.1_1,29,Alphatorquevirus
AY823989.1_1,29,Alphatorquevirus
MZ286092.1_1,30,Alphatorquevirus
MZ286188.1_1,30,Alphatorquevirus
MW455383.1_1,30,Alphatorquevirus
MW455423.1_1,30,Alphatorquevirus
MZ286205.1_1,30,Alphatorquevirus
MW455438.1_1,30,Alphatorquevirus
MH648958.1_1,30,Alphatorquevirus
MZ286023.1_1,30,Alphatorquevirus
MW455359.1_1,30,Alphatorquevirus
MZ286156.1_1,30,Alphatorquevirus
MZ286151.1_1,30,Alphatorquevirus
MZ285964.1_1,30,Alphatorquevirus
MH648950.1_1,30,Alphatorquevirus
MH649258.1_1,30,Alphatorquevirus
MW455369.1_1,30,Alphatorquevirus
MT501648.1_1,30,Alphatorquevirus
MH649129.1_1,30,Alphatorquevirus
MH649242.1_1,30,Alphatorquevirus
MH648901.1_1,30,Alphatorquevirus
MZ286222.1_1,30,Alphatorquevirus
MH649092.1_1,30,Alphatorquevirus
PP374834.1_1,30,Alphatorquevirus
MH649156.1_1,30,Alphatorquevirus
MZ286094.1_1,30,Alphatorquevirus
PQ438050.1_1,30,Alphatorquevirus
MW455375.1_1,30,Alphatorquevirus
MZ286107.1_1,30,Alphatorquevirus
MZ286158.1_1,30,Alphatorquevirus
MW455385.1_1,30,Alphatorquevirus
MZ286160.1_1,30,Alphatorquevirus
MW455416.1_1,30,Alphatorquevirus
MW455432.1_1,30,Alphatorquevirus
KP343845.1_1,30,Alphatorquevirus
MZ286043.1_1,30,Alphatorquevirus
MZ286143.1_1,30,Alphatorquevirus
MZ286037.1_1,30,Alphatorquevirus
MZ286209.1_1,30,Alphatorquevirus
MW455395.1_1,30,Alphatorquevirus
MH649022.1_1,30,Alphatorquevirus
MZ286221.1_1,30,Alphatorquevirus
MN765200.1_1,30,Alphatorquevirus
MW455399.1_1,30,Alphatorquevirus
OQ283124.1_1,30,Alphatorquevirus
MW455446.1_1,30,Alphatorquevirus
MH648942.1_1,30,Alphatorquevirus
MW857571.1_1,30,Alphatorquevirus
MK820644.1_1,30,Alphatorquevirus
MZ286141.1_1,30,Alphatorquevirus
MT501646.1_1,30,Alphatorquevirus
MZ286060.1_1,31,Alphatorquevirus
KP343843.1_1,31,Alphatorquevirus
MW455393.1_1,31,Alphatorquevirus
MZ286027.1_1,31,Alphatorquevirus
KP343844.1_1,31,Alphatorquevirus
MH649109.1_1,31,Alphatorquevirus
MZ286064.1_1,31,Alphatorquevirus
MZ286025.1_1,31,Alphatorquevirus
MZ286181.1_1,31,Alphatorquevirus
MT783406.1_1,31,Alphatorquevirus
MW455421.1_1,31,Alphatorquevirus
MW455440.1_1,31,Alphatorquevirus
KP343837.1_1,31,Alphatorquevirus
MH649063.1_1,31,Alphatorquevirus
MZ286061.1_1,31,Alphatorquevirus
MZ286106.1_1,31,Alphatorquevirus
MZ286006.1_1,31,Alphatorquevirus
MZ286140.1_1,31,Alphatorquevirus
MZ286124.1_1,31,Alphatorquevirus
MN765203.1_1,31,Alphatorquevirus
MW455400.1_1,31,Alphatorquevirus
MW455442.1_1,31,Alphatorquevirus
MZ286019.1_1,31,Alphatorquevirus
MW455417.1_1,31,Alphatorquevirus
MZ286017.1_1,31,Alphatorquevirus
MZ286142.1_1,31,Alphatorquevirus
MZ286062.1_1,31,Alphatorquevirus
MZ286110.1_1,31,Alphatorquevirus
MN765199.1_1,31,Alphatorquevirus
JN980171.1_1,31,Alphatorquevirus
MN765198.1_1,31,Alphatorquevirus
MZ285973.1_1,31,Alphatorquevirus
KJ194503.1_1,31,Alphatorquevirus
MZ286093.1_1,32,Alphatorquevirus
MW679005.1_1,32,Alphatorquevirus
MW455368.1_1,32,Alphatorquevirus
KP036971.1_1,32,Alphatorquevirus
MZ285983.1_1,32,Alphatorquevirus
MH648962.1_1,32,Alphatorquevirus
MN768561.1_1,32,Alphatorquevirus
MZ286009.1_1,32,Alphatorquevirus
MN768560.1_1,32,Alphatorquevirus
MH648946.1_1,32,Alphatorquevirus
MN768559.1_1,32,Alphatorquevirus
MH648990.1_1,32,Alphatorquevirus
MZ286098.1_1,32,Alphatorquevirus
MH648913.1_1,32,Alphatorquevirus
MZ286003.1_1,32,Alphatorquevirus
MZ286109.1_1,32,Alphatorquevirus
MZ286122.1_1,32,Alphatorquevirus
MN768564.1_1,32,Alphatorquevirus
MZ285994.1_1,32,Alphatorquevirus
MZ286186.1_1,32,Alphatorquevirus
MW455349.1_1,32,Alphatorquevirus
MN768565.1_1,32,Alphatorquevirus
MZ285989.1_1,32,Alphatorquevirus
MN768563.1_1,32,Alphatorquevirus
MW455439.1_1,32,Alphatorquevirus
MH649085.1_1,32,Alphatorquevirus
MZ286185.1_1,32,Alphatorquevirus
MZ286008.1_1,32,Alphatorquevirus
MN768562.1_1,32,Alphatorquevirus
MZ286183.1_1,32,Alphatorquevirus
KP343839.1_1,32,Alphatorquevirus
MZ285969.1_1,32,Alphatorquevirus
MN768568.1_1,32,Alphatorquevirus
MH649070.1_1,32,Alphatorquevirus
MH649144.1_1,32,Alphatorquevirus
MZ286002.1_1,32,Alphatorquevirus
MH649255.1_1,32,Alphatorquevirus
MN768566.1_1,32,Alphatorquevirus
MN774989.1_1,33,Unclassified
MH649127.1_1,33,Unclassified
MN774956.1_1,34,Samektorquevirus
MN774929.1_1,34,Samektorquevirus
MN774932.1_1,34,Samektorquevirus
MN774933.1_1,34,Samektorquevirus
MN774934.1_1,34,Samektorquevirus
MN774959.1_1,34,Samektorquevirus
MN774988.1_1,34,Samektorquevirus
KP343820.1_1,34,Samektorquevirus
MN774930.1_1,35,Memtorquevirus
MN774938.1_1,35,Memtorquevirus
MN774939.1_1,35,Memtorquevirus
MN774927.1_1,35,Memtorquevirus
MN774928.1_1,35,Memtorquevirus
MZ286176.1_1,36,Unclassified
OP549858.1_1,36,Unclassified
MN774948.1_1,36,Unclassified
MZ286024.1_1,36,Unclassified
MN774945.1_1,37,Unclassified
MN774967.1_1,37,Unclassified
MN774969.1_1,37,Unclassified
MN774968.1_1,37,Unclassified
MN774975.1_1,37,Unclassified
KP343821.1_1,37,Unclassified
MZ286071.1_1,38,Gammatorquevirus
MN774981.1_1,38,Gammatorquevirus
MW455362.1_1,38,Gammatorquevirus
MZ286150.1_1,38,Gammatorquevirus
MZ286238.1_1,38,Gammatorquevirus
MW455406.1_1,38,Gammatorquevirus
MZ286177.1_1,38,Gammatorquevirus
MZ286154.1_1,38,Gammatorquevirus
MW455408.1_1,38,Gammatorquevirus
MZ286005.1_1,38,Gammatorquevirus
MN774964.1_1,38,Gammatorquevirus
MZ286201.1_1,38,Gammatorquevirus
MW455407.1_1,38,Gammatorquevirus
MN774935.1_1,38,Gammatorquevirus
MZ285999.1_1,38,Gammatorquevirus
MN774942.1_1,38,Gammatorquevirus
MN774953.1_1,38,Gammatorquevirus
MN774976.1_1,39,Gammatorquevirus
MZ286068.1_1,39,Gammatorquevirus
MZ285962.1_1,39,Gammatorquevirus
MZ286147.1_1,39,Gammatorquevirus
MZ286198.1_1,39,Gammatorquevirus
MN774984.1_1,39,Gammatorquevirus
MN774941.1_1,39,Gammatorquevirus
MN774954.1_1,39,Gammatorquevirus
AY622909.1_1,39,Gammatorquevirus
MN774962.1_1,39,Gammatorquevirus
MT506589.1_1,39,Gammatorquevirus
KP343822.1_1,39,Gammatorquevirus
MN774936.1_1,39,Gammatorquevirus
MN774955.1_1,39,Gammatorquevirus
MN774977.1_1,39,Gammatorquevirus
MZ286069.1_1,39,Gammatorquevirus
MZ286000.1_1,39,Gammatorquevirus
MZ286041.1_1,39,Gammatorquevirus
MW455378.1_1,39,Gammatorquevirus
MZ286081.1_1,39,Gammatorquevirus
MN774940.1_1,39,Gammatorquevirus
MZ286117.1_1,39,Gammatorquevirus
MN774944.1_1,39,Gammatorquevirus
MN774987.1_1,39,Gammatorquevirus
KP343824.1_1,39,Gammatorquevirus
MZ286096.1_1,39,Gammatorquevirus
MZ286214.1_1,39,Gammatorquevirus
MW455405.1_1,39,Gammatorquevirus
MZ286001.1_1,39,Gammatorquevirus
MN774985.1_1,39,Gammatorquevirus
MN774974.1_1,39,Gammatorquevirus
MZ286091.1_1,39,Gammatorquevirus
MZ286203.1_1,39,Gammatorquevirus
MZ286191.1_1,39,Gammatorquevirus
MW455450.1_1,39,Gammatorquevirus
MN774971.1_1,39,Gammatorquevirus
MN774986.1_1,39,Gammatorquevirus
MZ286172.1_1,39,Gammatorquevirus
MZ286089.1_1,40,Gammatorquevirus
MZ286202.1_1,40,Gammatorquevirus
MW455373.1_1,40,Gammatorquevirus
AB303563.1_1,40,Gammatorquevirus
MZ285963.1_1,40,Gammatorquevirus
MN774961.1_1,40,Gammatorquevirus
MN774970.1_1,40,Gammatorquevirus
MZ286217.1_1,39,Gammatorquevirus
MZ286173.1_1,1,Gammatorquevirus
MH648922.1_1,1,Gammatorquevirus
MN774973.1_1,1,Gammatorquevirus
AB303555.1_1,1,Gammatorquevirus
MN774943.1_1,1,Gammatorquevirus
MN774972.1_1,1,Gammatorquevirus
MN774937.1_1,1,Gammatorquevirus
MN774951.1_1,1,Gammatorquevirus
MN774963.1_1,1,Gammatorquevirus
MN774952.1_1,1,Gammatorquevirus
MN774978.1_1,1,Gammatorquevirus
MN774965.1_1,1,Gammatorquevirus
MW455365.1_1,1,Gammatorquevirus
KP343827.1_1,1,Gammatorquevirus
AB303565.1_1,1,Gammatorquevirus
MZ286067.1_1,1,Gammatorquevirus
MZ286026.1_1,1,Gammatorquevirus
MZ286085.1_1,1,Gammatorquevirus
MW455410.1_1,1,Gammatorquevirus
MZ286087.1_1,1,Gammatorquevirus
MZ286138.1_1,1,Gammatorquevirus
MZ286197.1_1,1,Gammatorquevirus
MZ286032.1_1,1,Gammatorquevirus
MZ286083.1_1,1,Gammatorquevirus
MZ286175.1_1,1,Gammatorquevirus
MZ286223.1_1,1,Gammatorquevirus
MZ285996.1_1,1,Gammatorquevirus
MZ286095.1_1,1,Gammatorquevirus
MZ286165.1_1,1,Gammatorquevirus
MW455361.1_1,1,Gammatorquevirus
OP549859.1_1,1,Gammatorquevirus
MW455394.1_1,1,Gammatorquevirus
MZ286112.1_1,1,Gammatorquevirus
AB303557.1_1,1,Gammatorquevirus
AB303556.1_1,1,Gammatorquevirus
MZ285986.1_1,1,Gammatorquevirus
MZ286116.1_1,1,Gammatorquevirus
KP343826.1_1,1,Gammatorquevirus
MN774958.1_1,1,Gammatorquevirus
MW455436.1_1,1,Gammatorquevirus
MZ286199.1_1,1,Gammatorquevirus
MN774950.1_1,1,Gammatorquevirus
MZ286153.1_1,1,Gammatorquevirus
KP343825.1_1,1,Gammatorquevirus
MZ286164.1_1,1,Gammatorquevirus
OP549860.1_1,1,Gammatorquevirus
MZ286149.1_1,1,Gammatorquevirus
MN774949.1_1,1,Gammatorquevirus
MZ286055.1_1,1,Gammatorquevirus
MZ286090.1_1,1,Gammatorquevirus
MZ286159.1_1,1,Gammatorquevirus
MZ286137.1_1,1,Gammatorquevirus
MW455426.1_1,1,Gammatorquevirus
MN774980.1_1,1,Gammatorquevirus
MW455413.1_1,1,Gammatorquevirus
JQ308210.1_1,26,Gyrovirus
JQ690763.1_1,26,Gyrovirus
KF294862.1_1,26,Gyrovirus
JQ690762.1_1,26,Gyrovirus
JX310702.1_1,26,Gyrovirus
KF294861.1_1,26,Gyrovirus
PP728776.1_1,34,Samektorquevirus
PP728779.1_1,34,Samektorquevirus
PP728781.1_1,34,Samektorquevirus
PP728782.1_1,35,Memtorquevirus
OZ258714.1_1,27,Hetorquevirus
MN769234.1_1,27,Hetorquevirus
MH017566.1_1,2,Betatorquevirus
AB303561.1_1,38,Gammatorquevirus
AB303559.1_1,38,Gammatorquevirus
AB303564.1_1,39,Gammatorquevirus
OK574374.1_1,39,Gammatorquevirus
AB290919.1_1,39,Gammatorquevirus
AB303554.1_1,39,Gammatorquevirus
OZ258610.1_1,39,Gammatorquevirus
AB303566.1_1,39,Gammatorquevirus
OZ258698.1_1,39,Gammatorquevirus
NC_038359.1_1,39,Gammatorquevirus
AB303562.1_1,39,Gammatorquevirus
OZ258705.1_1,39,Gammatorquevirus
AB303553.1_1,40,Gammatorquevirus
AB290917.1_1,1,Gammatorquevirus
AB290918.1_1,1,Gammatorquevirus
NC_038350.1_1,1,Gammatorquevirus
NC_038351.1_1,1,Gammatorquevirus
AB303560.1_1,1,Gammatorquevirus
AB303552.1_1,1,Gammatorquevirus
OK574345.1_1,1,Gammatorquevirus
OK574382.1_1,1,Gammatorquevirus
AB303558.1_1,1,Gammatorquevirus
OZ258684.1_1,29,Alphatorquevirus
OZ258692.1_1,29,Alphatorquevirus
OZ258652.1_1,29,Alphatorquevirus
OZ258612.1_1,29,Alphatorquevirus
OZ258675.1_1,29,Alphatorquevirus
OZ258799.1_1,29,Alphatorquevirus
OZ258617.1_1,29,Alphatorquevirus
OZ258672.1_1,29,Alphatorquevirus
OZ258664.1_1,30,Alphatorquevirus
OZ258660.1_1,30,Alphatorquevirus
MH017570.1_1,30,Alphatorquevirus
MH017577.1_1,30,Alphatorquevirus
MH017583.1_1,30,Alphatorquevirus
OZ258785.1_1,30,Alphatorquevirus
NC_038337.1_1,31,Alphatorquevirus
OZ258700.1_1,31,Alphatorquevirus
GU797360.1_1,31,Alphatorquevirus
OZ258719.1_1,31,Alphatorquevirus
OZ258742.1_1,31,Alphatorquevirus
LC385662.1_1,31,Alphatorquevirus
OZ258750.1_1,31,Alphatorquevirus
OZ258803.1_1,32,Alphatorquevirus
OZ258620.1_1,32,Alphatorquevirus
OZ258693.1_1,32,Alphatorquevirus
OZ258816.1_1,32,Alphatorquevirus
OZ258632.1_1,32,Alphatorquevirus
OZ258670.1_1,32,Alphatorquevirus
MN771074.1_1,2,Betatorquevirus
MN771486.1_1,2,Betatorquevirus
MN769401.1_1,2,Betatorquevirus
OZ258650.1_1,2,Betatorquevirus
MN769151.1_1,2,Betatorquevirus
MN770389.1_1,2,Betatorquevirus
MN769809.1_1,2,Betatorquevirus
