Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
NC_075379.1,RefSeq,GCF_004287315.1,SRR6442898,SAMN08296125,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctcd026,,"MAG: Anelloviridae sp. isolate ctcd026, complete genome",1871,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075380.1,RefSeq,GCF_004287355.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctcf040,,"MAG: Anelloviridae sp. isolate ctcf040, complete genome",2550,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075447.1,RefSeq,GCF_006370125.1,,,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,,,"Anelloviridae sp. strain vzttmv5, complete genome",2919,complete,Viet Nam,Viet Nam,,Homo sapiens,,"Lu,L., Robertson,G., Ivens,A., Ashworth,J., Woolhouse,M.","National Center for Biotechnology Information, NIH",USA,,2014-03-07,2023-05-04,ssDNA(-)
NC_076131.1,RefSeq,GCF_018580125.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,TTMV_LY3,,"TTV-like mini virus isolate TTMV_LY3, complete genome",2915,complete,France,France,,Homo sapiens,,"Galmes,J., Li,Y., Rajoharison,A., Ren,L., Dollet,S., Richard,N., Vernet,G., Javouhey,E., Wang,J., Telles,J.N., Paranhos-Baccala,G., Li,S., Telles,J.-N., Baccala,G.","National Center for Biotechnology Information, NIH",USA,1,2009-02-06,2023-05-04,ssDNA(-)
NC_076135.1,RefSeq,GCF_018580215.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,D11,,"TTV-like mini virus isolate D11, complete genome",2853,complete,Netherlands,Netherlands,,Homo sapiens,blood,,"National Center for Biotechnology Information, NIH",USA,,1994,2023-05-04,ssDNA(-)
NC_076155.1,RefSeq,GCF_018580655.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,Emory1,,"TTV-like mini virus isolate Emory1, complete genome",2830,complete,USA,USA,,Homo sapiens,brain_tumor,"Ng,T.F.F., Dill,J.A., Camus,A.C., Wan Meir,E.G., Delwart,E.","National Center for Biotechnology Information, NIH",USA,,1993,2023-05-04,ssDNA(-)
NC_076156.1,RefSeq,GCF_018580665.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,Emory2,,"TTV-like mini virus isolate Emory2, complete genome",2938,complete,USA,USA,,Homo sapiens,brain_tumor,"Ng,T.F.F., Dill,J.A., Camus,A.C., Wan Meir,E.G., Delwart,E.","National Center for Biotechnology Information, NIH",USA,,1993,2023-05-04,ssDNA(-)
NC_076162.1,RefSeq,GCF_018580825.1,,,PRJNA485481,Torque teno mini virus SHA,Betatorquevirus homini26,Betatorquevirus,Anelloviridae,,SHA,,"Torque teno mini virus SHA, complete genome",2880,complete,China,China,,Homo sapiens,blood,,"National Center for Biotechnology Information, NIH",USA,,2015-03-10,2023-05-04,ssDNA(-)
NC_076166.1,RefSeq,GCF_018580875.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,zhenjiang,,"TTV-like mini virus isolate zhenjiang, complete genome",2943,complete,China,China,,Homo sapiens,,"Kang,Y.-J., Zhang,W.","National Center for Biotechnology Information, NIH",USA,,2016-01-01,2023-05-04,ssDNA(-)
NC_076168.1,RefSeq,GCF_018580895.1,,,PRJNA485481,Torque teno virus,Torque teno virus,,Anelloviridae,,,,"Torque teno virus Human/Japan/KS025/2016 DNA, complete genome",2810,complete,Japan,Japan,,Homo sapiens,,"Kuroda,M., Sekizuka,T., Hashino,M., Ikuta,Y., Nai,E., Katori,T., Oba,K.","National Center for Biotechnology Information, NIH",USA,,2016,2023-05-04,ssDNA(-)
NC_076233.1,RefSeq,GCF_018583595.1,,,PRJNA485481,Torque teno mini virus 10,Betatorquevirus homini10,Betatorquevirus,Anelloviridae,,,,"Torque teno mini virus 10 strain BNI-700620-G1-CSF, complete genome",2892,complete,Ghana,Ghana,,Homo sapiens,cerebrospinal fluid,"Eibach,D., Hogan,B., Sarpong,N., Winter,D., Struck,N.S., Adu-Sarkodie,Y., Owusu-Dabo,E., Schmidt-Chanasit,J., May,J., Cadar,D.","National Center for Biotechnology Information, NIH",USA,1,2014,2023-05-04,ssDNA(-)
NC_076234.1,RefSeq,GCF_018583605.1,,,PRJNA485481,Torque teno mini virus 10,Betatorquevirus homini10,Betatorquevirus,Anelloviridae,,,,"Torque teno mini virus 10 strain BNI-700835-G3-CSF, complete genome",2839,complete,Ghana,Ghana,,Homo sapiens,cerebrospinal fluid,"Eibach,D., Hogan,B., Sarpong,N., Winter,D., Struck,N.S., Adu-Sarkodie,Y., Owusu-Dabo,E., Schmidt-Chanasit,J., May,J., Cadar,D.","National Center for Biotechnology Information, NIH",USA,1,2014,2023-05-04,ssDNA(-)
NC_076339.1,RefSeq,GCF_018584815.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,,,"TTV-like mini virus strain vzttmv4, complete genome",2907,complete,Viet Nam,Viet Nam,,Homo sapiens,,"Lu,L., Robertson,G., Ivens,A., Ashworth,J., Woolhouse,M.","National Center for Biotechnology Information, NIH",USA,,2015-05-18,2023-05-04,ssDNA(-)
NC_038337.1,RefSeq,GCF_002818245.1,,,PRJNA485481,Torque teno virus 9,Alphatorquevirus homin9,Alphatorquevirus,Anelloviridae,,BM1C,,"Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence",3064,complete,USA,USA,,Homo sapiens,bone,"Shende,V.R., Brown,K.E.","National Center for Biotechnology Information, NIH",USA,,,2018-08-24,ssDNA(-)
NC_038345.1,RefSeq,GCF_002818445.1,,,PRJNA485481,Torque teno mini virus 10,Betatorquevirus homini10,Betatorquevirus,Anelloviridae,,LIL-y1,,"Torque teno mini virus 10 isolate LIL-y1 ORF2, ORF1, ORF3, and ORF4 genes, complete cds",2887,complete,France,France,,Homo sapiens,blood,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038346.1,RefSeq,GCF_002818465.1,,,PRJNA485481,Torque teno mini virus 11,Betatorquevirus homini11,Betatorquevirus,Anelloviridae,,LIL-y2,,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds",2871,complete,France,France,,Homo sapiens,blood,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038347.1,RefSeq,GCF_002818485.1,,,PRJNA485481,Torque teno mini virus 12,Betatorquevirus homini12,Betatorquevirus,Anelloviridae,,LIL-y3,,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds",2912,complete,France,France,,Homo sapiens,blood,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038350.1,RefSeq,GCF_002818545.1,,,PRJNA485481,Torque teno midi virus 3,Gammatorquevirus homidi3,Gammatorquevirus,Anelloviridae,,2PoSMA,,"Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes, complete cds",2002,complete,France,France,,Homo sapiens,blood,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038351.1,RefSeq,GCF_002818565.1,,,PRJNA485481,Torque teno midi virus 4,Gammatorquevirus homidi4,Gammatorquevirus,Anelloviridae,,6PoSMA,,"Torque teno midi virus 4 isolate 6PoSMA ORF2, ORF1, and ORF3 genes, complete cds",2454,complete,France,France,,Homo sapiens,blood,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038352.1,RefSeq,GCF_002818585.1,,,PRJNA485481,Torque teno midi virus 5,Gammatorquevirus homidi5,Gammatorquevirus,Anelloviridae,,MDJHem2,,"Torque teno midi virus 5 DNA, complete genome, isolate: MDJHem2",3208,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038353.1,RefSeq,GCF_002818605.1,,,PRJNA485481,Torque teno midi virus 6,Gammatorquevirus homidi6,Gammatorquevirus,Anelloviridae,,MDJHem3-1,,"Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1",3198,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038354.1,RefSeq,GCF_002818625.1,,,PRJNA485481,Torque teno midi virus 7,Gammatorquevirus homidi7,Gammatorquevirus,Anelloviridae,,MDJHem3-2,,"Torque teno midi virus 7 DNA, complete genome, isolate: MDJHem3-2",3197,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038355.1,RefSeq,GCF_002818645.1,,,PRJNA485481,Torque teno midi virus 8,Gammatorquevirus homidi8,Gammatorquevirus,Anelloviridae,,MDJN1,,"Torque teno midi virus 8 DNA, complete genome, isolate: MDJN1",3223,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038356.1,RefSeq,GCF_002818665.1,,,PRJNA485481,Torque teno midi virus 9,Gammatorquevirus homidi9,Gammatorquevirus,Anelloviridae,,MDJN2,,"Torque teno midi virus 9 DNA, complete genome, isolate: MDJN2",3187,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038357.1,RefSeq,GCF_002818685.1,,,PRJNA485481,Torque teno midi virus 10,Gammatorquevirus homidi10,Gammatorquevirus,Anelloviridae,,MDJN14,,"Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14",3175,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038358.1,RefSeq,GCF_002818705.1,,,PRJNA485481,Torque teno midi virus 11,Gammatorquevirus homidi11,Gammatorquevirus,Anelloviridae,,MDJN47,,"Torque teno midi virus 11 DNA, complete genome, isolate: MDJN47",3198,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038359.1,RefSeq,GCF_002818725.1,,,PRJNA485481,Torque teno midi virus 12,Gammatorquevirus homidi12,Gammatorquevirus,Anelloviridae,,MDJN51,,"Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51",3187,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038360.1,RefSeq,GCF_002818745.1,,,PRJNA485481,Torque teno midi virus 13,Gammatorquevirus homidi13,Gammatorquevirus,Anelloviridae,,MDJN69,,"Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69",3230,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_038361.1,RefSeq,GCF_002818765.1,,,PRJNA485481,Torque teno midi virus 14,Gammatorquevirus homidi14,Gammatorquevirus,Anelloviridae,,MDJN97,,"Torque teno midi virus 14 DNA, complete genome, isolate: MDJN97",3223,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2018-08-24,ssDNA(-)
NC_030297.1,RefSeq,GCF_001661815.1,,,PRJNA485481,Torque teno mini virus 18,Betatorquevirus homini18,Betatorquevirus,Anelloviridae,,222,,"Torque teno mini virus 18 isolate 222, complete genome",2803,complete,China,China,,Homo sapiens,oronasopharynx,"Zhang,Y., Li,F., Shan,T.L., Deng,X., Delwart,E., Feng,X.P.","National Center for Biotechnology Information, NIH",USA,1,2014,2016-06-10,ssDNA(-)
NC_025726.1,RefSeq,GCF_000930495.1,,,PRJNA485481,Torque teno mini virus ALA22,Betatorquevirus homini27,Betatorquevirus,Anelloviridae,,TTMV-ALA22,,"Torque teno mini virus ALA22, complete genome",2914,complete,Spain,Spain,,Homo sapiens,oronasopharynx,"Parras-Molto,M., Suarez-Rodriguez,P., Eguia,A., Aguirre-Urizar,J.M., Lopez-Bueno,A.","National Center for Biotechnology Information, NIH",USA,1,2014-02-01,2014-11-26,ssDNA(-)
NC_025727.1,RefSeq,GCF_000929855.1,,,PRJNA485481,Torque teno mini virus ALH8,Betatorquevirus homini16,Betatorquevirus,Anelloviridae,,TTMV-ALH8,,"Torque teno mini virus ALH8, complete genome",2855,complete,Spain,Spain,,Homo sapiens,oronasopharynx,"Parras-Molto,M., Suarez-Rodriguez,P., Eguia,A., Aguirre-Urizar,J.M., Lopez-Bueno,A.","National Center for Biotechnology Information, NIH",USA,1,2013-09-26,2014-11-26,ssDNA(-)
NC_022788.1,RefSeq,GCF_000913875.1,,,PRJNA485481,Gyrovirus Tu243,Gyrovirus homsa4,Gyrovirus,Anelloviridae,,,,"Gyrovirus Tu243, complete genome",2020,complete,Tunisia,Tunisia,,Homo sapiens,feces,"Gia Phan,T., Phung Vo,N., Sdiri-Loulizi,K., Aouni,M., Pothier,P., Ambert-Balay,K., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,1,2004,2013-11-12,ssDNA(-)
NC_022789.1,RefSeq,GCF_000912415.1,,,PRJNA485481,Gyrovirus Tu789,Gyrovirus homsa2,Gyrovirus,Anelloviridae,,,,"Gyrovirus Tu789, complete genome",2282,complete,Tunisia,Tunisia,,Homo sapiens,feces,"Gia Phan,T., Phung Vo,N., Sdiri-Loulizi,K., Aouni,M., Pothier,P., Ambert-Balay,K., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,1,2003,2013-11-12,ssDNA(-)
NC_020498.1,RefSeq,GCF_000905335.1,,,PRJNA485481,TTV-like mini virus,TTV-like mini virus,Betatorquevirus,Anelloviridae,,TTMV_LY1,,"TTV-like mini virus isolate TTMV_LY1, complete genome",2912,complete,France,France,,Homo sapiens,,"Galmes,J., Li,Y., Rajoharison,A., Ren,L., Dollet,S., Richard,N., Vernet,G., Javouhey,E., Wang,J., Telles,J.N., Paranhos-Baccala,G., Li,S., Telles,J.-N., Baccala,G.","National Center for Biotechnology Information, NIH",USA,1,2007-04-04,2013-03-25,ssDNA(-)
NC_018401.1,RefSeq,GCF_000899075.1,,,PRJNA485481,Gyrovirus 4,Gyrovirus homsa3,Gyrovirus,Anelloviridae,,,,"Gyrovirus 4, complete genome",2034,complete,Hong Kong,Hong Kong,,Homo sapiens,,"Chu,D.K., Poon,L.L., Chiu,S.S., Chan,K.H., Ng,E.M., Bauer,I., Cheung,T.K., Ng,I.H., Guan,Y., Wang,D., Peiris,J.S., Chu,D.K.W., Poon,L.L.M., Chiu,S.S.S., Ng,I.H.Y., Peiris,J.S.M.","National Center for Biotechnology Information, NIH",USA,1,2011-11,2012-08-13,ssDNA(-)
NC_017091.1,RefSeq,GCF_000896975.1,,,,Gyrovirus GyV3,Gyrovirus homsa1,Gyrovirus,Anelloviridae,,,,"Gyrovirus GyV3, complete genome",2359,complete,Chile,Chile,,Homo sapiens,feces,"Phan,T.G., Li,L., O'Ryan,M.G., Cortes,H., Mamani,N., Bonkoungou,I.J., Wang,C., Leutenegger,C.M., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,1,2008,2012-07-10,ssDNA(-)
NC_014089.1,RefSeq,GCF_000888975.1,,,PRJNA485481,Torque teno mini virus 5,Betatorquevirus homini5,Betatorquevirus,Anelloviridae,,TGP96,,"Torque teno mini virus 5, complete genome",2908,complete,,,,Homo sapiens,,"Okamoto,H., Nishizawa,T., Tawara,A., Peng,Y., Takahashi,M., Kishimoto,J., Tanaka,T., Miyakawa,Y., Mayumi,M.","National Center for Biotechnology Information, NIH",USA,1,,2010-04-30,ssDNA(-)
NC_014093.1,RefSeq,GCF_000887335.1,,,PRJNA485481,Torque teno midi virus 2,Gammatorquevirus homidi2,Gammatorquevirus,Anelloviridae,,MD2-013,,"Torque teno midi virus 2, complete genome",3253,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Nishizawa,T., Takahashi,M., Lorenzo,F.R., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,1,,2010-04-30,ssDNA(-)
NC_014095.1,RefSeq,GCF_000888315.1,,,PRJNA485481,Torque teno mini virus 6,Betatorquevirus homini6,Betatorquevirus,Anelloviridae,,TLMV-CBD203,,"Torque teno mini virus 6, complete genome",2897,complete,,,,Homo sapiens,,"Takahashi,K., Iwasa,Y., Hijikata,M., Mishiro,S.","National Center for Biotechnology Information, NIH",USA,1,,2010-04-30,ssDNA(-)
NC_014097.1,RefSeq,GCF_000887355.1,,,PRJNA485481,Torque teno mini virus 1,Betatorquevirus homini1,Betatorquevirus,Anelloviridae,,TLMV-CBD279,,"Torque teno mini virus 1, complete genome",2856,complete,,,,Homo sapiens,,"Takahashi,K., Iwasa,Y., Hijikata,M., Mishiro,S.","National Center for Biotechnology Information, NIH",USA,1,,2010-04-30,ssDNA(-)
NC_014068.1,RefSeq,GCF_000887215.1,,,PRJNA485481,Torque teno mini virus 8,Betatorquevirus homini8,Betatorquevirus,Anelloviridae,,PB4TL,,"Torque teno mini virus 8, complete genome",2910,complete,France,France,,Homo sapiens,,"Biagini,P., Gallian,P., Attoui,H., Touinssi,M., Cantaloube,J., de Micco,P., de Lamballerie,X.","National Center for Biotechnology Information, NIH",USA,1,,2010-04-29,ssDNA(-)
NC_009225.1,RefSeq,GCF_000870545.1,,,PRJNA485481,Torque teno midi virus 1,Gammatorquevirus homidi1,Gammatorquevirus,Anelloviridae,,MD1-032,,"Torque teno midi virus 1, complete genome",3245,complete,Japan,Japan,,Homo sapiens,blood,"Ninomiya,M., Nishizawa,T., Takahashi,M., Lorenzo,F.R., Shimosegawa,T., Okamoto,H.","Jichi Medical University School of Medicine, Division of Virology, Department of Infection and Immunity; 3311-1 Yakushiji, Shimotsuke-Shi, Tochigi-Ken 329-0498",Japan,1,,2007-03-27,ssDNA(-)
NC_007013.1,RefSeq,GCF_000859305.1,,,PRJNA485481,Small anellovirus 1,Small anellovirus,,Anelloviridae,,,,"Small anellovirus 1, complete genome",2249,complete,USA,USA,,Homo sapiens,,"Jones,M.S., Kapoor,A., Lukashov,V.V., Simmonds,P., Hecht,F., Delwart,E., Jones,M.S. Jr.","National Center for Biotechnology Information, NIH",USA,1,,2005-05-21,ssDNA(-)
NC_007014.1,RefSeq,GCF_000860145.1,,,PRJNA485481,Small anellovirus 2,Small anellovirus,,Anelloviridae,,,,"Small anellovirus 2, complete genome",2635,complete,USA,USA,,Homo sapiens,,"Jones,M.S., Kapoor,A., Lukashov,V.V., Simmonds,P., Hecht,F., Delwart,E., Jones,M.S. Jr.","National Center for Biotechnology Information, NIH",USA,1,,2005-05-21,ssDNA(-)
OZ258610.1,GenBank,,,SAMEA118254621,PRJEB89271,Gammatorquevirus sp.,Gammatorquevirus sp.,Gammatorquevirus,Anelloviridae,,,,"Gammatorquevirus sp., isolate HS04001_2, complete genome",3230,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
OZ258612.1,GenBank,,,SAMEA118254621,PRJEB89271,Alphatorquevirus sp.,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,,,,"Alphatorquevirus sp., isolate HS04001_5, complete genome",3766,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
OZ258613.1,GenBank,,,SAMEA118254621,PRJEB89271,Betatorquevirus sp.,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,,,,"Betatorquevirus sp., isolate HS04001_7, complete genome",2824,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
OZ258617.1,GenBank,,,SAMEA118254622,PRJEB89271,Alphatorquevirus homin13,Alphatorquevirus homin13,Alphatorquevirus,Anelloviridae,,,,"Alphatorquevirus homin13, isolate HS04012_2, complete genome",3896,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
OZ258620.1,GenBank,,,SAMEA118254622,PRJEB89271,Alphatorquevirus sp.,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,,,,"Alphatorquevirus sp., isolate HS04012_5, complete genome",3724,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
OZ258626.1,GenBank,,,SAMEA118254624,PRJEB89271,Betatorquevirus homini38,Betatorquevirus homini38,Betatorquevirus,Anelloviridae,,,,"Betatorquevirus homini38, isolate HS04018_12, complete genome",2836,complete,Thailand,Thailand,,Homo sapiens,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,,,2025-05-17,ssDNA(-)
