Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PP374831.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP4			3769				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374830.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP3			3741				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374829.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP2			3794				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374828.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP1			3830				3		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
OZ259028.1	PRJEB89271	SAMEA118254701	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3150				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ259022.1	PRJEB89271	SAMEA118254698	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2898				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259021.1	PRJEB89271	SAMEA118254697	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2908				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259019.1	PRJEB89271	SAMEA118254696	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2940				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259016.1	PRJEB89271	SAMEA118254695	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2720				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259015.1	PRJEB89271	SAMEA118254694	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3687				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ259011.1	PRJEB89271	SAMEA118254692	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3757				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ259010.1	PRJEB89271	SAMEA118254692	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2928				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259009.1	PRJEB89271	SAMEA118254691	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2958				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259005.1	PRJEB89271	SAMEA118254688	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2902				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ259003.1	PRJEB89271	SAMEA118254686	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2792				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Anellovirus sp.		3041468
OZ259002.1	PRJEB89271	SAMEA118254686	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2901				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258997.1	PRJEB89271	SAMEA118254685	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3882				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258990.1	PRJEB89271	SAMEA118254681	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2935				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus homini15		3052003
OZ258989.1	PRJEB89271	SAMEA118254681	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2859				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258988.1	PRJEB89271	SAMEA118254681	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2892				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Anellovirus sp.		3041468
OZ258987.1	PRJEB89271	SAMEA118254680	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2908				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258985.1	PRJEB89271	SAMEA118254678	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2949				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258983.1	PRJEB89271	SAMEA118254677	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2824				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258982.1	PRJEB89271	SAMEA118254677	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2833				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258981.1	PRJEB89271	SAMEA118254677	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2951				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258976.1	PRJEB89271	SAMEA118254675	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2861				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258975.1	PRJEB89271	SAMEA118254674	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2972				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258973.1	PRJEB89271	SAMEA118254674	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2867				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258965.1	PRJEB89271	SAMEA118254670	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2829				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258963.1	PRJEB89271	SAMEA118254668	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2681				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258962.1	PRJEB89271	SAMEA118254667	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3809				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258960.1	PRJEB89271	SAMEA118254667	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2946				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258959.1	PRJEB89271	SAMEA118254666	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2872				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258956.1	PRJEB89271	SAMEA118254664	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3832				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258954.1	PRJEB89271	SAMEA118254662	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3726				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258953.1	PRJEB89271	SAMEA118254661	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2856				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258951.1	PRJEB89271	SAMEA118254660	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2933				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258949.1	PRJEB89271	SAMEA118254659	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2873				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258948.1	PRJEB89271	SAMEA118254658	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2811				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258943.1	PRJEB89271	SAMEA118254656	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2948				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258942.1	PRJEB89271	SAMEA118254655	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3473				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258941.1	PRJEB89271	SAMEA118254655	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2888				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258940.1	PRJEB89271	SAMEA118254655	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2908				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258938.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2904				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258937.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2904				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258936.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2958				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258935.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2810				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus homini36		3052022
OZ258933.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2952				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258931.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3473				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258928.1	PRJEB89271	SAMEA118254653	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2978				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258927.1	PRJEB89271	SAMEA118254652	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2879				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258926.1	PRJEB89271	SAMEA118254651	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2895				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Hetorquevirus hominid6		3163396
OZ258925.1	PRJEB89271	SAMEA118254650	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2811				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258924.1	PRJEB89271	SAMEA118254650	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2725				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258923.1	PRJEB89271	SAMEA118254649	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2782				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258921.1	PRJEB89271	SAMEA118254648	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3744				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258919.1	PRJEB89271	SAMEA118254647	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2869				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258917.1	PRJEB89271	SAMEA118254646	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3222				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Gammatorquevirus sp.		2809423
OZ258913.1	PRJEB89271	SAMEA118254645	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3724				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258912.1	PRJEB89271	SAMEA118254645	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3783				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258910.1	PRJEB89271	SAMEA118254645	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3114				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Gammatorquevirus sp.		2809423
OZ258909.1	PRJEB89271	SAMEA118254644	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								2996				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Betatorquevirus sp.		2809199
OZ258907.1	PRJEB89271	SAMEA118254642	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3820				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
OZ258905.1	PRJEB89271	SAMEA118254640	COMPLETE		Thailand	Asia									Homo sapiens		9606	true								3726				1		2025-05-17T00:00:00Z		GenBank		CENMIG, 272 Rama VI Road, Ratchathewi	Thailand	Parkbhorn,J.	2025-05-18T00:00:00Z								Alphatorquevirus sp.		2809145
